Sample	Group	Total	Aligned_Pair_Count	Aligned_Percent
SRR1554534	Adult	28181772	26995064	97.8
SRR1554535	Adult	38063721	36540378	97.9
SRR1554536	Adult	21450348	21029471	99
SRR1554537	Fetal	55133946	53240197	98.2
SRR1554538	Fetal	68026190	66246099	98.6
SRR1554539	Adult	33742728	32573446	98.2
SRR1554541	Fetal	69278357	66902516	98.2
SRR1554544	Infant	39743394	38833201	98.8
SRR1554546	Infant	41784734	40748450	98.7
SRR1554549	Infant	50950772	49811528	98.8
SRR1554551	Infant	40734254	39743004	98.7
SRR1554553	Infant	6513661	6300174	98.2
SRR1554554	Infant	51774668	50367918	98.6
SRR1554556	Adult	49480779	48319190	98.7
SRR1554561	Adult	39272751	37442537	97.6
SRR1554566	Fetal	53161501	51479608	98.3
SRR1554567	Fetal	61922935	60018416	98.4
SRR1554568	Fetal	48184702	46694237	98.3
