Sample	Group	Total	Aligned_Count	Aligned_Percent	Supplemental
SRR1554534	Adult	28181772	27968852	99.2445	3741800
SRR1554535	Adult	38063721	37799422	99.3056	4303666
SRR1554536	Adult	21450348	21403789	99.7829	3560200
SRR1554537	Fetal	55133946	54953253	99.6723	5127574
SRR1554538	Fetal	68026190	67794656	99.6596	6285694
SRR1554539	Adult	33742728	33439398	99.1011	2415490
SRR1554541	Fetal	69278357	69105157	99.75	5884694
SRR1554544	Infant	39743394	39614351	99.6753	3801970
SRR1554546	Infant	41784734	41671343	99.7286	5086832
SRR1554549	Infant	50950772	50710369	99.5282	4399746
SRR1554551	Infant	40734254	40578670	99.6181	4082814
SRR1554553	Infant	6513661	6497040	99.7448	439352
SRR1554554	Infant	51774668	51577992	99.6201	4142574
SRR1554556	Adult	49480779	49334568	99.7045	4191162
SRR1554561	Adult	39272751	38938053	99.1478	4247378
SRR1554566	Fetal	53161501	53010560	99.7161	5495382
SRR1554567	Fetal	61922935	61743384	99.71	5284456
SRR1554568	Fetal	48184702	48033055	99.6853	4370842
