Sample	Group	Total	Unique_Aligned_Count	Unique_Aligned_Percent
SRR1554534	Adult	28181772	26720470	94.81
SRR1554535	Adult	38063721	36276001	95.3
SRR1554536	Adult	21450348	20008850	93.28
SRR1554537	Fetal	55133946	53306293	96.69
SRR1554538	Fetal	68026190	65793072	96.72
SRR1554539	Adult	33742728	32601256	96.62
SRR1554541	Fetal	69278357	67166770	96.95
SRR1554544	Infant	39743394	38197887	96.11
SRR1554546	Infant	41784734	39736044	95.1
SRR1554549	Infant	50950772	49177628	96.52
SRR1554551	Infant	40734254	39080865	95.94
SRR1554553	Infant	6513661	6346730	97.44
SRR1554554	Infant	51774668	50170438	96.9
SRR1554556	Adult	49480779	47789491	96.58
SRR1554561	Adult	39272751	37543371	95.6
SRR1554566	Fetal	53161501	51331685	96.56
SRR1554567	Fetal	61922935	60053784	96.98
SRR1554568	Fetal	48184702	46680634	96.88
