Sample	Percent_Average_Q30	Average_GC	Percent_Unique
SRR1554535_2	80.3	48.31	65.05
SRR1554551_2	91.73	46.31	64.52
SRR1554534_2	92.77	52.06	66
SRR1554568_2	81.94	47.8	73.19
SRR1554554_2	90.96	47.59	69.34
SRR1554556_2	87.8	48.36	60.35
SRR1554561_1	91.43	52.64	65.93
SRR1554535_1	82.7	48.25	64.03
SRR1554568_1	88.58	47.79	73.54
SRR1554566_1	87.81	49.09	73.63
SRR1554567_1	90.05	46.93	70.2
SRR1554537_1	86.55	48.54	75.97
SRR1554536_1	89.34	47.04	51.27
SRR1554561_2	88.3	52.73	64.88
SRR1554551_1	93.29	46.3	68.03
SRR1554534_1	95	52.04	64.98
SRR1554544_1	96.54	47.1	63.76
SRR1554541_1	87.43	46.88	70.57
SRR1554546_1	93.18	46.42	57.61
SRR1554549_2	91.69	48.51	65.52
SRR1554567_2	83.95	46.87	70.76
SRR1554544_2	95.58	47.01	63.61
SRR1554549_1	94.85	48.51	66.08
SRR1554539_2	91.77	48.71	71.91
SRR1554539_1	94.71	48.75	70.45
SRR1554556_1	89.02	48.42	60.13
SRR1554536_2	85.78	47.03	51.13
SRR1554538_2	87.48	47.71	69.71
SRR1554537_2	84.41	48.67	68.14
SRR1554553_2	83.44	46.7	84.8
SRR1554541_2	79.46	46.8	73.74
SRR1554566_2	83.49	49.06	73.35
SRR1554553_1	88.46	46.75	85.04
SRR1554554_1	91.01	47.62	69.73
SRR1554546_2	92.69	46.33	57.78
SRR1554538_1	90.02	47.74	71.29
