Sample	Group	Total	Unique_Aligned_Count	Unique_Aligned_Percent	quantified_count	percent_quantified
SRR1554534	Adult	28181772	26720470	94.81	19975264	70.8800851841396
SRR1554535	Adult	38063721	36276001	95.3	26315707	69.1359286707676
SRR1554536	Adult	21450348	20008850	93.28	7337697	34.207822642318
SRR1554537	Fetal	55133946	53306293	96.69	40916768	74.2133857061492
SRR1554538	Fetal	68026190	65793072	96.72	48348897	71.0739451966956
SRR1554539	Adult	33742728	32601256	96.62	25068739	74.2937530125009
SRR1554541	Fetal	69278357	67166770	96.95	51217712	73.9303214133672
SRR1554544	Infant	39743394	38197887	96.11	24408495	61.4152253831165
SRR1554546	Infant	41784734	39736044	95.1	23045494	55.1529034503367
SRR1554549	Infant	50950772	49177628	96.52	35706963	70.0812992588218
SRR1554551	Infant	40734254	39080865	95.94	24198155	59.4049298165618
SRR1554553	Infant	6513661	6346730	97.44	4812787	73.887587947853
SRR1554554	Infant	51774668	50170438	96.9	36630080	70.7490388929196
SRR1554556	Adult	49480779	47789491	96.58	34895771	70.5238917115674
SRR1554561	Adult	39272751	37543371	95.6	29574550	75.3055216325436
SRR1554566	Fetal	53161501	51331685	96.56	40923833	76.9802060329335
SRR1554567	Fetal	61922935	60053784	96.98	45451085	73.3994359278997
SRR1554568	Fetal	48184702	46680634	96.88	35432887	73.5355528399864
