Gene	Length	SRR1554534	SRR1554535	SRR1554536	SRR1554537	SRR1554538	SRR1554539	SRR1554541	SRR1554544	SRR1554546	SRR1554549	SRR1554551	SRR1554553	SRR1554554	SRR1554556	SRR1554561	SRR1554566	SRR1554567	SRR1554568
A1BG	4027	179	158	35	337	201	159	385	317	259	420	249	52	387	302	301	379	161	239
A1BG-AS1	2793	101	75	5	120	60	85	155	84	65	142	64	15	151	142	168	114	40	96
A1CF	9567	4	0	0	11	8	3	6	3	8	3	8	1	4	2	3	6	1	3
A2M	4653	2238	3321	2867	1891	3162	3208	3121	4804	6632	5020	4957	707	6413	7563	1770	2961	2376	1736
A2M-AS1	2187	12	39	15	10	16	41	20	36	40	56	36	3	73	45	27	22	24	21
A2ML1	6309	99	152	156	71	88	46	57	307	294	281	335	19	190	188	123	26	89	36
A2MP1	1201	1	7	1	6	11	9	9	7	7	8	5	0	9	4	1	6	1	2
A3GALT2	1023	3	3	0	9	17	1	4	2	1	7	3	0	9	5	1	25	15	12
A4GALT	2549	85	77	118	26	58	34	47	94	106	90	108	11	36	105	95	57	28	29
A4GNT	1771	1	2	1	0	6	4	10	0	2	1	0	0	3	3	0	7	3	4
AA06	632	0	1	0	0	2	2	2	0	0	2	1	0	0	0	0	0	1	0
AAAS	1837	589	608	308	1982	1998	393	1482	609	542	847	557	90	785	1079	596	2305	1828	1754
AACS	4372	2032	2203	284	2531	2576	2411	2939	1318	1029	2458	1053	381	2013	2344	3253	3104	2285	1941
AACSP1	2823	16	11	3	3	23	11	7	8	8	14	13	2	16	22	17	30	11	6
AADAC	1606	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AADACL2	1500	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AADACL3	4049	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AADACL4	1575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	1289	1	2	0	0	1	2	2	0	0	1	2	0	4	0	0	0	0	0
AADAT	2416	331	546	208	1105	2004	435	2130	900	1000	858	1040	164	879	713	432	1301	2347	1580
AAGAB	3406	840	1407	282	635	1351	1756	2173	1013	906	1613	940	323	1343	1853	1142	1170	1640	840
AAK1	21636	4751	6665	525	5572	8422	9753	9852	4694	4281	7615	4824	1423	11385	8050	8429	3895	6464	4938
AAMDC	1159	67	150	106	240	312	63	151	178	163	244	183	22	195	287	102	306	265	227
AAMP	1796	2243	2613	677	3061	3551	2016	3485	1998	1683	2887	1646	364	2484	2973	3170	3934	3930	2751
AANAT	2149	7	10	0	4	6	7	5	9	21	44	10	0	25	11	8	7	2	4
AAR2	2765	328	465	185	1376	1494	383	1605	596	574	1015	572	132	828	741	506	1353	1587	969
AARD	1786	31	45	11	12	4	51	34	121	117	167	153	47	203	74	27	22	30	5
AARS	3416	9778	9568	1414	5993	7063	10067	7834	4237	3387	6456	3438	958	6395	12155	15276	6325	6335	5134
AARS2	4782	621	778	237	1290	1726	648	1315	663	581	1060	594	133	839	762	1015	2038	1482	1356
AARSD1	1595	2	3	0	37	56	10	32	16	17	18	11	3	11	13	1	40	48	62
AASDH	5900	153	324	134	1038	1362	333	1079	348	449	544	406	71	616	514	262	1074	1108	904
AASDHPPT	2868	1355	4537	500	6604	7759	4126	13560	4788	4598	6322	5235	1288	6857	4636	2055	5825	9146	5103
AASS	6056	324	986	548	1379	2113	453	585	1584	2434	3689	2042	144	1339	1953	255	3871	1848	3854
AATBC	4874	33	42	3	202	219	41	215	18	28	91	43	8	163	56	81	76	138	64
AATF	2141	613	747	201	1215	1731	546	1305	494	443	887	375	80	796	991	702	2815	1791	1755
AATK	5358	7946	8352	734	1286	1046	5382	1369	1947	1327	6294	1503	330	3300	15683	11756	958	1132	655
ABAT	5930	9212	8849	3881	6816	9684	10434	11746	13419	12604	17500	13424	2064	23455	10257	14155	9381	9956	7825
