Gene	Log2.Fold.Change	p.value	FDR
A1BG	0.356861068394962	0.235562592959055	0.287350092009933
A1BG-AS1	0.854204038560469	0.0626388099387385	0.0868562261499816
A2M	1.72235165702042	1.52356943400146e-06	4.11635091490354e-06
A2ML1	2.52185588638087	6.91703088266122e-07	1.95243191581055e-06
A4GALT	2.59964624120487	7.12675153595256e-07	2.00963964608826e-06
AAAS	-0.558426334326148	0.0176909226956981	0.0270214821808757
AACS	0.663349272631643	0.00656278781219042	0.0107557009771101
AADAT	-0.868044606719751	1.86222927153706e-05	4.36550869835912e-05
AAGAB	0.910191407788419	0.000348614810473436	0.000689206598828671
AAK1	0.890109138477482	0.00690736488996758	0.0112905803909832
AAMDC	0.246826354375491	0.535896897653914	0.592716184018057
AAMP	0.442254452753284	0.000514207487493068	0.000991159606873635
AAR2	-0.61610237322975	9.21409087659885e-06	2.24526548018284e-05
AARS	1.55234872501288	2.73206745955407e-12	1.38595809225333e-11
AARS2	-0.116786802200648	0.513639663096629	0.570799687948716
AASDH	-0.86399750577435	8.71713533930209e-06	2.12926258887372e-05
AASDHPPT	-0.536519957446168	0.0696805661311163	0.0956163272738375
AASS	-0.497469603049178	0.350644724160235	0.408412461531075
AATF	-0.461436618544955	0.0347177305115093	0.0504570261533955
AATK	3.83391676723695	2.02301638448948e-34	6.24420208719046e-33
ABAT	1.15575337895558	1.58520841905586e-10	6.71570768144282e-10
ABCA1	-1.38966748228552	0.00162582669558609	0.00292124777694355
ABCA10	2.26926773175981	1.39045000479273e-12	7.26826138868929e-12
ABCA11P	-0.360322810980726	0.0704710637060788	0.096570963756667
ABCA2	2.82767212488995	2.48221596041297e-17	2.02831235980893e-16
ABCA3	0.663824391346446	0.00847897525303282	0.0136405897008402
ABCA4	-0.259092382398868	0.703633034649473	0.748344799679407
ABCA5	1.06799846726279	0.0122119602861076	0.0191323394506586
ABCA7	1.22992244930996	0.0102217216810986	0.0162414233402153
ABCA8	3.92031579206992	5.60394478896443e-12	2.76321758957928e-11
ABCA9	1.71344142744997	3.63184901743744e-05	8.18299367809416e-05
ABCB1	2.54816944051072	1.02370001919783e-13	5.96565683439357e-13
ABCB10	-0.613455131763558	0.00403929800805335	0.00686454410616621
ABCB4	-1.87142143596941	0.000982298412461446	0.00182011114367207
ABCB6	-0.10970907919184	0.477767361699382	0.536665031731642
ABCB7	-1.04650277304433	1.87152923150211e-06	4.99869017441844e-06
ABCB8	0.0237027338401023	0.876254716993244	0.898496603460391
ABCB9	0.65509030234242	0.000563624166435322	0.00108086076027
ABCC1	-0.573595172858749	0.0414879651145538	0.059399435997343
ABCC10	-0.673403464626728	6.9189017689729e-05	0.000150287188462382
ABCC12	4.60171513655121	1.73795300595361e-22	2.24893011478207e-21
ABCC4	-1.66062240461732	7.6638107213371e-05	0.000165509527315261
ABCC5	-0.300653023058862	0.0850072856591879	0.114737708802652
ABCC8	2.23695655763519	4.27413982340519e-10	1.72807581178787e-09
ABCC9	1.14304910060344	0.00121294965491313	0.00222150810160047
ABCD1	-0.506586298895197	0.0142911469782329	0.0221344363972631
ABCD2	0.313486321755902	0.304054130251447	0.360536495708102
ABCD3	-0.545464152813938	0.0229527093725595	0.0343555826233544
ABCD4	-0.969339642059053	0.000155703942961294	0.000322864363331112
ABCE1	-0.668530753798701	0.00121326667726455	0.00222180336686689
ABCF1	-0.309064336459595	0.0691390990961923	0.0949560688257289
ABCF2	0.479587886515807	0.000416839116095755	0.000814152279896653
ABCF3	0.61559698744073	0.00104147883215709	0.00192376789463213
ABCG1	0.944630805464992	1.05869939239012e-05	2.56273185121086e-05
ABCG2	2.4343062462023	2.38921686368924e-08	8.03732778396051e-08
ABCG4	1.84300472113604	9.62086385312963e-09	3.37998321127442e-08
ABHD10	0.204313504798994	0.285112307695384	0.340684344060629
ABHD11	1.79693286375532	1.79750833814338e-15	1.24188318323278e-14
ABHD12	2.10437763634876	5.95763721283608e-49	4.1240731385943e-47
ABHD12B	6.26556351827326	6.97339576305699e-30	1.54651047560175e-28
ABHD13	-0.0354418128424169	0.873417049292826	0.896037922511921
ABHD14A	1.39584136455833	1.5615406374202e-08	5.36309477110118e-08
ABHD14B	1.36959236758311	1.80463226376026e-07	5.46370617435696e-07
ABHD15	1.81226954736104	1.16064580101266e-07	3.59097616021707e-07
ABHD16A	-0.186636104680838	0.263591231884608	0.317923620627126
ABHD16B	1.23464844241585	0.000304300046084324	0.000605458163410418
ABHD17A	2.17149393925366	2.47152767659381e-24	3.67507660774012e-23
ABHD17B	-0.103581106323985	0.725784764488116	0.767781212284906
ABHD17C	-0.429581588282413	0.135953187491847	0.175526704720121
ABHD18	-1.19511643897579	1.25686004498084e-14	8.01916073441914e-14
ABHD2	0.150579420553869	0.40675991137583	0.465670868354153
