Gene	Log2.Fold.Change	p.value	FDR
A1BG	0.304840343687486	0.32590003979867	0.386433672282328
A1BG-AS1	0.803854899671909	0.0729780118945648	0.101974248094872
A2M	1.66728397568834	4.08250742459761e-06	1.1610719170849e-05
A2ML1	2.45596950177458	2.99121615402217e-06	8.66352439435968e-06
A4GALT	2.5318702330257	2.37745271593004e-06	6.98611336313173e-06
AAAS	-0.61408273468115	0.011274363251198	0.0184627173713828
AACS	0.610323611242568	0.0133242379122694	0.0215957536214355
AADAT	-0.920497000664403	2.42416449126588e-05	6.10986657128586e-05
AAGAB	0.861123595187225	0.000887320350638407	0.00175143613656889
AAK1	0.840028300305131	0.0112578797838417	0.018438477163684
AAMDC	0.189892457585134	0.635354072528201	0.688644623612286
AAMP	0.387518749830042	0.0164574553176327	0.0261592493519293
AAR2	-0.665301761736761	0.000166463109078493	0.000368885544487998
AARS	1.49919476607103	2.97628253170488e-10	1.50081298247229e-09
AARS2	-0.172190150487109	0.383277054960967	0.445189129084585
AASDH	-0.914600658652576	3.29558782399278e-05	8.11774993221735e-05
AASDHPPT	-0.583205021924919	0.0502742020354382	0.0725412393646662
AASS	-0.552233389388856	0.304069615687881	0.363256223943233
AATF	-0.515397131752377	0.0244627220454286	0.0376679133590886
AATK	3.78308177562545	3.64359609744127e-27	1.27047142755306e-25
ABAT	1.10037194281611	4.80690242993202e-08	1.80004491046135e-07
ABCA1	-1.44866434577184	0.00117233856651029	0.00227252590242919
ABCA10	2.21481117257961	5.7836526367463e-11	3.20764419261653e-10
ABCA11P	-0.412893293400746	0.0737443283295747	0.102944668740613
ABCA2	2.77956415987175	1.45909576778479e-14	1.27501838098316e-13
ABCA3	0.610238970005529	0.0174309255995995	0.0275385949473995
ABCA4	-0.315695117662038	0.62932874670112	0.683095528968701
ABCA5	1.02225385089977	0.0166827413328269	0.0264762310122639
ABCA7	1.17579904829744	0.0147717314669616	0.0237138662095919
ABCA8	3.87711560015243	1.73039137116262e-09	7.94051832857236e-09
ABCA9	1.65856450793264	8.28873310688711e-05	0.000192740279336036
ABCB1	2.49302518736793	2.26919888839359e-12	1.49792212204369e-11
ABCB10	-0.66393207527957	0.00356491945383407	0.00638530942293414
ABCB4	-1.92293420355532	0.000478574019607652	0.000987252666618291
ABCB6	-0.165149535334052	0.365694593618192	0.427190187572735
ABCB7	-1.0978344911675	5.00728479171849e-06	1.40100348204056e-05
ABCB8	-0.0312157141946168	0.860377783888767	0.886736714916211
ABCB9	0.599080277004294	0.0037034752702058	0.00661035049163274
ABCC1	-0.627969064026801	0.0266611627710372	0.0408031956078315
ABCC10	-0.728001935343047	0.000153208507776016	0.000341998617591603
ABCC12	4.536678833853	9.5007824778793e-18	1.22332177619486e-16
ABCC4	-1.71388772904267	7.1633480393385e-05	0.000167796568734489
ABCC5	-0.354217644843741	0.0718153104734096	0.100437710002384
ABCC8	2.18287524859703	2.99225035234253e-09	1.33132380625336e-08
ABCC9	1.08669999922945	0.00216687705590306	0.00402208754461674
ABCD1	-0.559284316412012	0.0193814582025864	0.0303890237966374
ABCD2	0.260627590608104	0.392607937584612	0.454406747982965
ABCD3	-0.598034310844645	0.0143240286882637	0.0230700893606999
ABCD4	-1.02437091323664	9.28350204894576e-05	0.000214169136934066
ABCE1	-0.717406571353186	0.00111992349597776	0.00217533526983698
ABCF1	-0.362708852862947	0.054791072264103	0.078466159350141
ABCF2	0.425645807745172	0.0112099773268262	0.0183642186866422
ABCF3	0.561194877896807	0.00557860622508201	0.00967881426291165
ABCG1	0.892631453630574	0.000155059426819727	0.000345753329042089
ABCG2	2.37861785347661	1.47051677135216e-07	5.14993596438102e-07
ABCG4	1.79095407467101	4.21921648588582e-08	1.59161862224874e-07
ABHD10	0.153476607885211	0.463152135417089	0.525071849747829
ABHD11	1.74177098069272	5.95622705256104e-12	3.74052102937127e-11
ABHD12	2.05141086008655	3.31762433531934e-31	1.7289045217986e-29
ABHD12B	6.1496451284199	3.66634265723036e-26	1.15477706858832e-24
ABHD13	-0.0855884168551752	0.716618339319296	0.7624810617555
ABHD14A	1.3434614535844	6.24638337036454e-07	2.00935847543646e-06
ABHD14B	1.31372614338084	2.6660149884144e-06	7.77822899001768e-06
ABHD15	1.75383347317199	7.69481606195311e-07	2.44348346961777e-06
ABHD16A	-0.241973930228736	0.198106787060707	0.24952261956117
ABHD16B	1.17675179649461	0.000783517848664067	0.00156061074207154
ABHD17A	2.11395194797454	1.0281885031676e-20	1.82815998001178e-19
ABHD17B	-0.14971415298464	0.616345873968469	0.671036444567509
ABHD17C	-0.484526451027838	0.0911894286767087	0.124486333505582
ABHD18	-1.25197443845917	1.74266840769045e-09	7.9891813661586e-09
ABHD2	0.0967112892806137	0.627398519427719	0.681361638520661
ABHD3	-0.25188204623203	0.562914727935765	0.621428136456331
ABHD4	0.587861778795426	0.160377345348947	0.206881542790718
ABHD5	-0.319107706761972	0.289587565252037	0.348716863929665
ABHD6	0.627497221245948	0.003816724027861	0.00679444198936006
ABHD8	2.19415352072397	2.6800902391919e-20	4.57242538307846e-19
ABI1	0.742882919243195	5.5762103312904e-05	0.000132811484556627
ABI2	-0.381422912265316	0.0922198993803015	0.12565158566449
ABI3BP	-1.80278644669654	2.30668262649064e-05	5.83428674907118e-05
ABITRAM	0.671516548781662	0.000569225904059388	0.00115957021052951
ABL1	-0.925270051324332	0.000145718863354069	0.000326398410554416
ABL2	-1.20436192536602	2.82653837244119e-07	9.52660428397336e-07
ABLIM1	0.420296850809627	0.256779398255067	0.313423520687621
ABLIM2	3.25600967322543	1.28547881845945e-18	1.82759890350619e-17
ABLIM3	0.205692260491299	0.298235004952099	0.357328472198689
ABR	1.1681913400433	1.56486763888417e-07	5.45913294373151e-07
ABRACL	-1.5413926023038	9.72541280179446e-11	5.2219891668234e-10
ABRAXAS1	-1.20472830159853	4.03586848127585e-06	1.14940443571471e-05
ABRAXAS2	-0.198240395624668	0.286358216189675	0.345205215024751
ABT1	0.260955226634199	0.197220838557068	0.248605081224713
ABTB1	2.0983247729268	1.62011436039853e-14	1.40289177636685e-13
ABTB2	-0.456868429920627	0.240396940112488	0.295939417610806
ACAA1	0.898854033853067	2.27201364576614e-06	6.70791667850733e-06
ACAA2	0.80095415450663	0.0863207947989057	0.118492654239762
ACACA	-0.711222222785619	0.00499643308106945	0.00871942066303047
ACACB	1.7365360655777	1.70256694641358e-05	4.4042395142695e-05
ACAD10	-0.679371091896757	0.00330376743769519	0.00595251334543748
ACAD11	0.0689549094752222	0.788453783980825	0.825009577849679
ACAD8	0.0149847332843472	0.929341679922373	0.942570894635672
ACAD9	0.366510684619509	0.0467722795271851	0.0679535216853294
