Gene	Log2.Fold.Change	p.value	FDR
A1BG	0.305404066064795	0.300689180834688	0.354956890489449
A1BG-AS1	0.804024138046798	0.0909036672211261	0.122714813012995
A2M	1.33263243762638	0.00158903603279769	0.0033692077801485
A2ML1	1.86333526650716	0.00139632634248004	0.0030145755971801
A4GALT	1.83398302459076	0.00140462761166656	0.00302884717165113
AAAS	-0.817198145779233	0.00257751520082787	0.00514175533728623
AACS	0.470370087953609	0.0478785090254013	0.0694902686695387
AADAT	-1.0609716336682	8.84710139425794e-05	0.000283959261099912
AAGAB	0.813987592855688	0.00389960570630082	0.00740201978503272
AAK1	0.591910821710309	0.104157227389414	0.138364592669419
AAMDC	-0.194396821935857	0.598343992877302	0.649561984843922
AAMP	0.275841012039044	0.0563419650682403	0.0803979589159566
AAR2	-0.809572777397969	4.90977663839977e-05	0.000174820754950647
AARS	1.29235273446771	2.98477985271948e-05	0.000116444059510339
AARS2	-0.289472448414459	0.123534796611277	0.160870256268624
AASDH	-1.09763450750235	4.0403190048464e-05	0.000149001059337246
AASDHPPT	-0.737770750394161	0.020832438819294	0.0329120067867974
AASS	-0.792329487066647	0.199655171330729	0.246958247914784
AATF	-0.564923767055227	0.0267429976551234	0.0411879526486377
AATK	3.49454118173601	4.36650710613739e-08	9.36772654761302e-07
ABAT	0.987595642763634	3.70103562634957e-05	0.000138593001205162
ABCA1	-1.81116630488302	0.000555002262846327	0.00135405812544275
ABCA10	2.2188807906091	4.61015169912706e-06	2.66616968532034e-05
ABCA11P	-0.502972039951268	0.035482196576412	0.0530345597764456
ABCA2	2.40557472591752	6.98862870893343e-06	3.66675210311727e-05
ABCA3	0.441053284259984	0.0642637077891316	0.0904131987146832
ABCA4	0.108449950731953	0.870077981797262	0.891795705702801
ABCA5	1.14087429125279	0.013596531155825	0.0224742662046283
ABCA7	1.54603114519509	0.0046244820555791	0.00859243515344277
ABCA8	3.86767369741088	4.41993163028627e-05	0.000160562839527585
ABCA9	1.35920878161348	0.00159104231286421	0.00337251846538901
ABCB1	2.12634719578816	9.00696005436156e-06	4.44180125736598e-05
ABCB10	-0.800350582973552	0.00229492819656317	0.00464004175859859
ABCB4	-1.67436042283426	0.0401978198631198	0.0594381919581479
ABCB6	-0.254370747574009	0.12845843132015	0.166676123064652
ABCB7	-1.27004037381983	7.70258965102903e-05	0.000251950966575162
ABCB8	-0.136727968249439	0.358335155630158	0.414471437880209
ABCB9	0.486680443477403	0.0106008141099435	0.0179617246405297
ABCC1	-0.738952741443929	0.00557136034317234	0.0101491248351345
ABCC10	-0.812717655628242	6.87549429799985e-05	0.000229039304473816
ABCC12	4.70848402732194	1.5521147855841e-07	2.25135192228804e-06
ABCC4	-1.95210769736167	0.000854515710438409	0.00196692332899018
ABCC5	-0.481571423790583	0.0103409689272664	0.0175570977859957
ABCC8	2.1096969854579	1.43204363289151e-05	6.44064186068176e-05
ABCC9	0.705417019358245	0.031720366174892	0.0479165771742781
ABCD1	-0.707941103769722	0.00637115388591702	0.01142312102328
ABCD2	0.0372094616438583	0.898216666112506	0.915399163849974
ABCD3	-0.836207627302704	0.00299535760571918	0.00586587453505898
ABCD4	-1.11495317977152	0.000920848916417025	0.00209837586598384
ABCE1	-0.857219955997748	0.00101691585624797	0.00228961840312486
ABCF1	-0.44817496986457	0.0160164176604312	0.0259709528730074
ABCF2	0.329399794551275	0.0238607337082908	0.0371521267680916
ABCF3	0.461331515782983	0.0195015096112884	0.0310046743110023
ABCG1	0.804539264590965	0.00109603300741467	0.00244318696986461
ABCG2	1.92624878792381	0.000232926361002013	0.000641985441370395
ABCG4	1.68711891264283	3.28719722870523e-05	0.000125925751094827
ABHD10	0.00115124191584371	0.995305968187589	0.996000965721412
ABHD11	1.52534785836836	5.03037693479094e-06	2.84829442325124e-05
ABHD12	1.9576581274877	1.46671307591874e-09	1.22361043519715e-07
ABHD12B	6.3035089762117	3.92616214204638e-07	4.34149920198046e-06
ABHD13	-0.213352530290484	0.318144805652336	0.373012616362892
ABHD14A	1.1633289376594	0.000131242231110223	0.000396266660740997
ABHD14B	1.04128522903628	0.000335588028653869	0.000878734156520848
ABHD15	1.63359062159899	0.000421826641120289	0.00106730183508031
ABHD16A	-0.323558880437989	0.0760583461082071	0.104837179770772
ABHD16B	1.20144492534639	0.00380568594923396	0.00724678253235076
ABHD17A	1.95251669923658	9.73600584946496e-08	1.60560068847736e-06
ABHD17B	-0.333020956163083	0.237867994537636	0.288351059864563
ABHD17C	-0.724586676955055	0.013609396045356	0.0224903430265218
ABHD18	-1.34125070061092	2.88567326496477e-06	1.88575392431419e-05
ABHD2	-0.00862014982629019	0.956792566478544	0.963786762508189
ABHD3	-0.49691678912054	0.283256431377589	0.336847391757715
ABHD4	0.161442315921433	0.663461667551839	0.708804226559059
ABHD5	-0.634516070681023	0.0276615161271308	0.0424611383481054
ABHD6	0.54530589656171	0.0124129534582553	0.0207065575614314
ABHD8	2.03431536373531	6.14639950476283e-08	1.17302356882088e-06
ABI1	0.632021065900525	0.00105885685089867	0.00237124159108349
ABI2	-0.490265453758157	0.0182344507265609	0.029194270289615
ABI3BP	-1.87978103979086	0.00366081472980766	0.00700629485748845
ABITRAM	0.554522172140207	0.00441918925784089	0.00826780695223469
ABL1	-1.06438488259193	0.000564653290857385	0.00137549656829461
ABL2	-1.2806029157779	1.07478946935027e-05	5.10533904052327e-05
ABLIM1	0.531754978578638	0.143771510904164	0.184113280811722
ABLIM2	3.07112888936054	2.1019114467197e-07	2.76861148372611e-06
