Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neuronal system	50/283	4.42621630099158E-24	2.748680322915771E-21	0	0	7.327503767796623	394.03283026466477	ACHE;KCNC1;KCNC2;RASGRF1;GRIK4;GRIK1;RIMS1;NEFL;KCNH1;PRKCG;KCNH3;KCNH4;KCND1;SLC32A1;ABCC8;CACNA2D3;KCNAB1;SYN2;GABRG2;STX1B;CAMK2B;KCNA1;CAMK2A;SLC1A2;KCNA4;ADCY2;GRIN2A;KCNN1;CACNG2;CACNG3;GRIA4;GABRA2;KCNJ4;GABBR2;GABRA1;KCNF1;SYT2;SYT1;GABRA5;KCNJ12;KCNJ9;GAD2;KCNJ16;GRIN2C;GRIN1;KCNS2;HCN2;KCNK3;HCN1;KCNK4
Transmission across chemical synapses	31/190	2.1729833532962642E-14	6.7471133119849005E-12	0	0	6.464216005204944	203.36481899275893	CAMK2B;ACHE;RASGRF1;CAMK2A;SLC1A2;GRIK4;GRIK1;ADCY2;RIMS1;GRIN2A;NEFL;CACNG2;CACNG3;GRIA4;PRKCG;GABRA2;KCNJ4;GABBR2;GABRA1;SYT1;SLC32A1;GABRA5;KCNJ12;KCNJ9;CACNA2D3;GAD2;KCNJ16;GRIN2C;SYN2;GABRG2;GRIN1
Potassium channels	22/99	2.041932656633076E-13	4.226800599230467E-11	0	0	9.367935968954646	273.72836733560564	KCNJ4;KCNH3;KCNF1;GABBR2;KCNH4;KCND1;KCNC1;KCNC2;ABCC8;KCNJ12;KCNJ9;KCNA1;KCNA4;KCNJ16;KCNAB1;KCNS2;KCNN1;HCN2;KCNK3;KCNH1;HCN1;KCNK4
Neuroactive ligand-receptor interaction	31/272	3.1701273384164027E-10	4.921622692891465E-8	0	0	4.246587494634426	92.88169789776092	OPRD1;VIPR2;CHRM1;GRIK4;LPAR3;GRIK1;GPR83;ADRA1D;PTH1R;HTR6;GRIN2A;HRH1;HRH3;HRH2;PRSS3;GABRD;NTSR2;GRIA4;GABRA2;GABBR2;GABRA1;GABRA5;GRIN2C;ADRA2C;HTR5A;SSTR3;GABRG2;GABRG1;GRIN1;P2RX6;CCKBR
Voltage-gated potassium channels	11/43	4.677151039466534E-8	5.809021591017435E-6	0	0	11.089947916666667	187.17604746740918	KCNF1;KCNH3;KCNH4;KCND1;KCNC1;KCNC2;KCNS2;KCNA1;KCNA4;KCNAB1;KCNH1
Unblocking of NMDA receptor, glutamate binding and activation	7/17	3.5747355404033694E-7	3.6998512843174876E-5	0	0	22.4591059602649	333.38756068916484	CAMK2B;GRIN2A;CAMK2A;NEFL;GRIN2C;GRIN1;GRIA4
Ras activation upon calcium influx through NMDA receptor	7/19	8.780721166934788E-7	7.789754063809289E-5	0	0	18.713990066225165	260.976642930123	CAMK2B;GRIN2A;CAMK2A;RASGRF1;NEFL;GRIN2C;GRIN1
GABA A and B receptor activation	10/53	3.923084739987076E-6	3.0452945294149675E-4	0	0	7.485972990751848	93.1901250959222	GABRA2;KCNJ4;GABBR2;GABRA1;GABRA5;KCNJ12;KCNJ9;KCNJ16;ADCY2;GABRG2
Calcium signaling pathway	18/178	9.217502515312497E-6	6.360076735565623E-4	0	0	3.647997470489039	42.2963653428849	PRKCG;RYR1;CAMK2B;CHRM1;CAMK2A;ADRA1D;ADCY2;GRIN2C;HTR5A;SLC8A2;GRIN1;P2RX6;HTR6;GRIN2A;HRH1;CCKBR;PHKG1;HRH2
Activation of NMDA receptor upon glutamate binding and postsynaptic events	8/37	1.27823750473387E-5	7.937854904397333E-4	0	0	8.856865099788415	99.79422519769659	CAMK2B;GRIN2A;CAMK2A;RASGRF1;NEFL;GRIN2C;GRIA4;GRIN1
