Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proteins Involved in Epilepsy	32/270	5.897744829485582E-11	4.187398828934763E-8	0	0	4.447192348441967	104.74857255084433	OPRD1;CHRM1;KCNC1;KCNC2;KCNA1;RASGRF1;SLC1A2;ATP1A3;AQP4;PLAT;FGF2;GRIN2A;HRH3;SV2A;TAC1;NTNG1;LGI1;GABBR2;GABRA1;KCNH3;SLC12A5;SYT1;KCNIP1;LGI4;SYN2;GABRG2;APLN;SLC6A8;PLP1;ALPL;TLN2;HCN1
Inherited Channelopathies	9/27	6.261149693536305E-8	2.2227081412053886E-5	0	0	16.08887043189369	266.85510384550196	LGI1;GABRA1;KCNA1;KCNA4;KCNAB1;GABRD;GABRG2;HCN2;HCN1
Proteins Involved in Amyotrophic Lateral Sclerosis	21/181	1.7145951146918455E-7	4.057875104770701E-5	0	0	4.277637711864407	66.64097006821564	SLC12A5;SLC1A2;CCK;FGF1;S100B;MT3;AGT;APLN;LGALS3;ADCYAP1;TRPM2;VGF;SCG5;NEFL;CSPG4;NEFM;KIF1A;TAC1;NEFH;CRYAB;PTGES
Potassium Flux Regulation	10/50	2.2442395984613487E-6	3.983525287268894E-4	0	0	8.048668885191347	104.69019361298525	OPRD1;GABBR2;HTR6;HRH1;KCNC2;ABCC8;HRH2;KCNJ9;KCNA1;KCNK3
CRH Secretion Regulation	6/24	6.671360423186254E-5	0.009473331800924481	0	0	10.672727272727272	102.61935776307706	OPRD1;GABRA1;ADCYAP1;RASGRF1;GRIK1;GRIN1
Ca2+ Flux Regulation	12/109	1.2501943488956607E-4	0.014793966461931984	0	0	3.9843725797291016	35.80772114229914	GABBR2;GRIN2A;HRH1;CHRM1;HRH3;HRH2;CAMK2A;ADRA1D;GRIN2C;ADRA2C;GRIA4;GRIN1
Vascular Motility	10/85	2.623912879562967E-4	0.026613973492710098	0	0	4.284858569051581	35.331545623181185	PPP1R14A;HTR6;HRH1;CHRM1;HRH2;RASGRF1;CAMK2A;ADRA1D;ADRA2C;MYL9
HRH1/2 -> Vascular Motility	4/13	4.94874949153373E-4	0.03942787285096112	0	0	14.190005491488193	108.00304720733037	HRH1;HRH2;CAMK2A;MYL9
Proteins Involved in Astrocytoma	10/92	4.997899375473945E-4	0.03942787285096112	0	0	3.9176575625989205	29.779379254553728	FLT1;AQP4;APOD;CSPG4;OLIG2;NPTX1;TEK;FGF1;FGF2;GFAP
Proteins Involved in Glioma	20/290	6.384712156130916E-4	0.044333871556132075	0	0	2.396315096822711	17.628333768561603	LGI1;PEG3;SLC1A2;PDGFA;AQP4;OLIG1;OLIG2;S100B;FGF2;DKK3;GFAP;ADAMTS4;LGALS3;BCAN;ADCYAP1;MAG;EFEMP1;AXL;CNTN2;CSPG4
CHRM1/2/3/5 -> Ion Channels	5/24	6.868627987569758E-4	0.044333871556132075	0	0	8.411499044641307	61.264110235274224	KCNJ4;CHRM1;KCNC1;CAMK2A;KCNK3
Muscarinic Receptor-Mediated Airway Smooth Muscle Contraction	4/15	8.998692292244062E-4	0.0532422627291107	0	0	11.608806350157256	81.41559006332777	PPP1R14A;RASGRF1;TAC1;MYL9
SOD1 Mutation	5/29	0.001692074144795606	0.09241328021576002	0	0	6.6573844884488445	42.486097646258855	CHGA;HSPB8;NEFL;CRYAB;CHGB
ADRA1 -> Vasoconstriction	4/19	0.0023188959326427426	0.11760115086973909	0	0	8.511367380560133	51.6356069097943	PPP1R14A;RASGRF1;ADRA1D;MYL9
POMC Secretion in adenohypophysis	4/20	0.0028293244299651813	0.12110040017602022	0	0	7.978995057660626	46.8184874413839	CAMK2B;PCSK2;PCSK1;CAMK2A
Exocytosis: Vesicle Priming	4/20	0.0028293244299651813	0.12110040017602022	0	0	7.978995057660626	46.8184874413839	RPH3A;RIMS1;SYT1;CACNG2
HRH1/2 -> Membrane Polarization	3/10	0.0028995870464680897	0.12110040017602022	0	0	13.662124060150376	79.83034501616987	HRH1;HRH2;KCNC2
