Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
chemical synaptic transmission (GO:0007268)	38/289	3.331030145212083E-14	6.402239939097623E-11	0	0	5.056520862448982	156.91855528437858	OPRD1;CHRM1;DOC2A;KCNA1;CPNE6;SLC1A2;GRIK4;LPAR3;GRIK1;ADRA1D;CDH8;HTR6;GRIN2A;KIF5A;KCNN1;DLGAP1;NPTX1;NPTX2;GABRD;GRIA4;GABRA2;GABBR2;GABRA1;UNC13A;SLC12A5;SYT1;GABRA5;GAD2;GRIN2C;HTR5A;SYN2;SSTR3;GABRG2;GABRG1;PLP1;HAP1;KCNK3;SCN2B
potassium ion transport (GO:0006813)	17/61	2.171137642746477E-12	1.6013805938917268E-9	0	0	12.582835935108662	337.9217456369086	KCNJ4;KCNH3;KCNF1;KCNH4;KCNC1;ABCC8;KCNJ12;KCNA1;KCNA4;KCNJ16;KCNAB1;ATP1A2;KCNS2;KCNN1;KCNK3;KCNH1;KCNK4
anterograde trans-synaptic signaling (GO:0098916)	32/240	2.499553476417888E-12	1.6013805938917268E-9	0	0	5.096585625083034	136.15482123291213	OPRD1;DOC2A;KCNA1;CPNE6;SLC1A2;GRIK4;LPAR3;GRIK1;HTR6;GRIN2A;KIF5A;KCNN1;DLGAP1;NPTX1;NPTX2;GABRD;GABRA2;GABBR2;GABRA1;SLC12A5;SYT1;GABRA5;GAD2;HTR5A;SYN2;SSTR3;GABRG2;GABRG1;PLP1;HAP1;KCNK3;SCN2B
positive regulation of synaptic transmission (GO:0050806)	17/67	1.149855003814024E-11	5.525053293326386E-9	0	0	11.06946127946128	278.8264481816858	SLC24A2;LGI1;MPP2;SYT1;GRIN2C;SHISA7;SLC8A2;RIMS2;RIMS1;STX1B;ARC;GRIN2A;RIMS3;HAP1;CACNG2;CACNG3;SHANK1
positive regulation of dendrite extension (GO:1903861)	9/17	4.270519969998467E-10	1.6415878764674105E-7	0	0	36.21864617940199	781.3852500345639	CPNE9;RIMS2;RIMS1;UNC13A;SYT2;CPNE5;SYT1;CPNE6;RASAL1
regulation of dendrite extension (GO:1903859)	9/18	8.310114792570962E-10	2.662006771886898E-7	0	0	32.19269102990033	673.0969370316468	CPNE9;RIMS2;RIMS1;UNC13A;SYT2;CPNE5;SYT1;CPNE6;RASAL1
metal ion transport (GO:0030001)	18/101	1.4765276022594173E-9	4.0541229307751424E-7	0	0	7.060444137426604	143.56405430763414	KCNJ4;KCNH3;KCNF1;KCNH4;KCNC1;ABCC8;KCNJ12;KCNA1;SLC5A11;KCNA4;KCNJ16;KCNAB1;ATP1A2;KCNS2;KCNN1;KCNK3;KCNH1;KCNK4
nervous system development (GO:0007399)	40/455	2.295686628677475E-9	5.15243690345293E-7	0	0	3.202835861836136	63.711559958250504	ACHE;NRSN1;CHRM1;DAGLA;DOC2A;CPNE6;CAMK2A;PCDH15;STMN3;GRIK1;FGF2;KIF17;KLK6;HAPLN2;UGT8;MOBP;SPOCK2;SOX8;NPTX1;GPM6B;LGI1;ARNT2;MOG;PCDHGC5;APLP1;FZD9;S100B;HPCAL4;GFRA2;BCAN;OLFM1;GJB1;NEURL1;MAL;HAP1;TAGLN3;LY6H;SCRG1;ITM2A;SHANK1
monovalent inorganic cation transport (GO:0015672)	18/104	2.4126915780997075E-9	5.15243690345293E-7	0	0	6.813090709439586	135.18890825325585	KCNJ4;KCNH3;KCNF1;KCNH4;KCNC1;ABCC8;KCNJ12;KCNA1;SLC5A11;KCNA4;KCNJ16;KCNAB1;ATP1A2;KCNS2;KCNN1;KCNK3;KCNH1;KCNK4
modulation of chemical synaptic transmission (GO:0050804)	16/82	3.048816453049741E-9	5.859825222761602E-7	0	0	7.872880061115355	154.37546606447142	LGI1;UNC13A;SYT1;CAMK2A;GRIK4;GRIK1;ATP1A2;MAPK8IP2;CPLX2;RIMS2;NPAS4;RIMS1;STX1B;RIMS3;CNTNAP4;GRIA4
