Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Amygdala	43/345	4.553310782967549E-15	3.3694499793959865E-13	0	0	4.784657447999254	158.00336865867783	PCSK2;DOC2A;TTYH1;TRIL;CPNE6;CAMK2A;AQP4;ICAM5;DDN;EPB41L4B;DPP6;SIPA1L1;JPH3;WIF1;NCS1;NEFL;NPTX1;CACNG3;GPM6B;PACSIN1;GABRA2;KCNJ4;KCNH3;PRRT3;SYT1;GABRA5;KCNAB1;OLIG1;GPR37L1;FBXL16;MAPK8IP2;HPCAL4;SYN2;TMEM130;SCRT1;C1QL2;MAPK8IP1;DKK3;GRIN1;FXYD7;NPTXR;LY6H;HCN2
Wholebrain	34/240	8.585853685430198E-14	3.1767658636091733E-12	0	0	5.4872204741633155	165.08892877571762	DOC2A;CPNE4;LRTM2;SLC1A2;PDGFA;FAIM2;THY1;CABP1;EPB41L4B;NCS1;KIF5A;KCNN1;NRIP3;NPTX2;SULT4A1;CACNG3;GABBR2;KCNF1;PRMT8;PTPRN2;GABRA5;KCNJ9;CCK;SYN2;MT3;OLFM1;ARC;CCKBR;PPP2R2C;TYRO3;CDK5R2;CAMK1G;SCN2B;HCN1
PrefrontalCortex	51/521	2.2467930203349372E-13	5.542089450159512E-12	0	0	3.665915653495441	106.7665026392707	PTPRT;CNTNAP1;FAM107A;CHD5;AQP4;FAIM2;RIMS2;RPH3A;RGS4;RIMS3;SIPA1L1;KIF5A;EDIL3;NKX6-2;OLIG1;MAPK8IP2;DKK3;MAPK8IP1;CLIP3;BCAN;MAP1A;EEF1A2;SPARCL1;TLN2;NPTXR;CDH18;CAMK1G;CAMK2A;SLC1A2;CEND1;ADCY2;ATP1A2;THY1;CABP1;PHYHIP;ZMAT4;SNCB;GPM6B;RAP1GAP2;GABBR2;ARNT2;SLC12A5;SYT1;LGI4;LGI3;MT3;GRIN1;CALY;PLXNB3;FXYD7;HCN2
Spinalcord	20/105	5.15181635772246E-11	9.53086026178655E-10	0	0	7.685478252214591	182.06196049104395	PAQR6;MOG;LGI4;TRIL;SLC5A11;GPR62;S100B;KLK6;GFAP;HAPLN2;UGT8;MAG;GJC2;MOBP;CAPN3;PADI2;ACSBG1;SCRG1;GPM6B;NKX2-2
Thalamus	17/79	1.9388902151403362E-10	2.869557518407698E-9	0	0	8.921445639187574	199.51684764939822	CPNE9;OPRD1;NKX6-2;ANKRD34C;MOG;CPNE4;USHBP1;CNDP1;SYNPR;RIMS1;DPP6;RIMS3;OLFM3;CAPN3;SNCG;CNTN2;NEFM
Hypothalamus	15/97	2.4271815253798007E-7	2.9935238813017546E-6	0	0	5.9257857259780655	90.2578049063637	PAQR6;PEG3;MOG;TRIL;OMG;SLC5A11;OLIG2;CNDP1;BAIAP3;CALY;PSD2;CAPN3;SCG2;NTSR2;BCAS1
Caudatenucleus	10/69	4.412603318278627E-5	4.66475207932312E-4	0	0	5.451366366789814	54.66881297857808	SYNPR;HRH3;DGKB;HPCA;PPP1R1B;GAD2;KCNAB1;CPLX2;TAC1;ANO3
OlfactoryBulb	10/83	2.1538011532227448E-4	0.001992266066731039	0	0	4.4027078157408885	37.172529271194165	COL16A1;SGCD;LGI4;NRIP2;PDGFA;PMP2;APOD;FGF1;S100B;SOX10
CerebellumPeduncles	13/137	2.9741195206654537E-4	0.0024453871614360393	0	0	3.3774544179523143	27.426254971483875	CAMK2B;SYT2;KCNC1;KCNJ12;IQSEC3;SLC8A2;RIMS1;CDH22;NPTX1;CACNG2;GABRD;GALNT9;SCN2B
Cerebellum	11/108	4.673810801857297E-4	0.0034586199933744	0	0	3.6462542955326462	27.960811065335044	KCNC1;KCNJ12;KCNJ9;RASGRF1;TYRO3;CA8;GABRD;SCRT1;TIMP4;SLC8A2;SCN2B
OccipitalLobe	6/35	6.047890206369954E-4	0.004068580684285242	0	0	6.620689655172414	49.06348725167936	RGS4;GABRA1;ARHGAP32;SYT1;EDIL3;SYN2
PancreaticIslet	11/123	0.0013859795002768636	0.00854687358504066	0	0	3.1554613095238095	20.767189511434108	CHGA;ADCYAP1;PCSK1;EPB41L4B;CLDN10;VGF;SCG5;PDGFA;GAD2;PRSS3;NKX2-2
MedullaOblongata	3/19	0.01909345340919067	0.1086858117138546	0	0	5.974403782894737	23.64913822126128	ALK;BCAN;SV2C
CardiacMyocytes	15/273	0.021136762473732074	0.11172288736115525	0	0	1.8662205400343375	7.197530125040115	KCNF1;HHIP;BGN;GRIK1;ADARB2;EFEMP1;AXL;HRH2;CREB3L1;MAP1A;CDH13;SNCG;TEK;ADAMTS8;EDIL3
pineal day	31/694	0.022916061047292175	0.11305256783330807	0	0	1.5096114838508348	5.700168055471994	RYR1;PCSK2;ACHE;SPON1;PTPRR;COL16A1;PARM1;PTPRN;LMOD1;ATP1A3;ADCY2;HR;LDB3;CABP1;CDH8;THBS4;KIF19;CKB;KIF1A;NEFH;RXRG;RTBDN;GDF10;MPP2;ABCC8;MCF2;DUSP8;GABRG2;SCG5;PADI2;SCG3
Lung	15/299	0.04214412367355114	0.194916571990174	0	0	1.6930652708195482	5.36136210245599	PPP1R14A;RAMP3;SFTPC;BGN;GPR4;PRELP;IFI27;CRTAC1;SLCO4A1;TMEM204;CA4;MMRN2;CSPG4;TEK;ADAMTS8
pineal night	28/674	0.06271867711066943	0.27301071212879635	0	0	1.3934649963623618	3.858638340805832	PCSK2;ACHE;PCSK1;SPON1;PTPRR;COL16A1;PARM1;PTPRN;LMOD1;ADCY2;GPR61;HR;THBS4;KIF1A;NEFH;RXRG;RTBDN;GDF10;MPP2;CA10;SVOP;ABCC8;MCF2;DUSP8;GABRG2;SLC6A8;SCG5;SCG3
retina	11/218	0.0719102662214831	0.29563109446609714	0	0	1.698888888888889	4.472046789490575	WIF1;MCAM;PLD5;PIR;WFDC1;AQP4;PLAT;PTGDS;FGF1;SOX10;BEST1
CingulateCortex	3/33	0.07876162905546844	0.3067558184265613	0	0	3.184046052631579	8.091709658663317	MEG3;KIF17;ABCC12
TemporalLobe	3/34	0.0845105547031975	0.31268905240183076	0	0	3.0811757215619693	7.613211907177395	CAMK2A;AGAP2;SYT15
AdrenalCortex	6/106	0.10606813173536005	0.37376389278174493	0	0	1.9129586776859504	4.29205495786212	MEG3;ARC;TNXB;STAR;EFHC2;KCNK3
Heart	17/415	0.13648278841931324	0.4412787727187328	0	0	1.3656117286770553	2.7196932758912915	RASGRF1;ST8SIA3;HSPB2;LDB3;COX7A1;CKMT2;FBXO40;ACTC1;IFI27;HRH2;CREB3L1;HRC;HAP1;FLNC;ASB2;MYL9;CRYAB
Adrenalgland	4/65	0.13715421314230883	0.4412787727187328	0	0	2.087989845248062	4.148103653920693	RASGEF1A;STAR;ST8SIA5;KCNK3
UterusCorpus	5/98	0.1806312714418675	0.5562225479261311	0	0	1.7119131267965506	2.929592653989024	NTNG1;IQCA1;COL24A1;ANGPTL2;PAMR1
ParietalLobe	2/26	0.18791302294801726	0.5562225479261311	0	0	2.6498357963875203	4.429932066141334	UGT8;ARHGAP32
SubthalamicNucleus	4/77	0.20899527018189973	0.5948326920561762	0	0	1.7436753853444968	2.729625573566894	GRIN2A;TLN2;CDH18;STXBP5L
Pituitary	4/84	0.25496108184449834	0.6581037921416321	0	0	1.5905271828665568	2.1736850129398015	PCSK1N;IGSF1;CHGB;BAIAP3
Kidney	6/142	0.2675248430110442	0.6581037921416321	0	0	1.4039620807000486	1.8511841574064873	CLDN10;JPH2;SLC12A1;TLN2;PTH1R;RENBP
GlobusPallidus	3/59	0.26909129242114604	0.6581037921416321	0	0	1.7034480733082706	2.2361240874968202	COL16A1;COL24A1;MGAT5B
Uterus	8/201	0.27304129029905516	0.6581037921416321	0	0	1.319550778061334	1.7129514188211492	SMOC2;RASL12;TAGLN;MCAM;CDH13;MYH11;CSPG4;MYL9
SkeletalMuscle	16/441	0.2756921291404134	0.6581037921416321	0	0	1.1998971824023728	1.5460321345554275	RYR1;IQCA1;POPDC3;KCNC2;RRAD;GPR4;ADRA1D;LDB3;HTR5A;RIMS1;P2RX6;SGCD;PART1;FLNC;FREM3;PTGES
FetalThyroid	3/66	0.3277752691292869	0.7579803098614759	0	0	1.5136278195488722	1.688341429477138	CORO6;ATP13A4;PDE8B
