Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neuronal System Homo sapiens R-HSA-112316	48/301	3.496981538983183E-21	1.9757945695254985E-18	0	0	6.448570967221056	303.74308383704556	CAMK2B;ACHE;KCNC1;KCNC2;KCNA1;RASGRF1;CAMK2A;SLC1A2;GRIK4;KCNA4;GRIK1;ADCY2;RIMS1;GRIN2A;KCNN1;NEFL;CACNG2;CACNG3;KCNH1;GRIA4;PRKCG;GABRA2;KCNJ4;GABBR2;GABRA1;KCNH3;KCNF1;KCNH4;KCND1;SLC32A1;SYT1;GABRA5;ABCC8;KCNJ12;KCNJ9;CACNA2D3;GAD2;KCNJ16;KCNAB1;GRIN2C;SYN2;GABRG2;GRIN1;KCNS2;KCNK3;HCN2;KCNK4;HCN1
Potassium Channels Homo sapiens R-HSA-1296071	22/99	2.041932656633076E-13	5.7684597549884396E-11	0	0	9.367935968954646	273.72836733560564	KCNJ4;KCNH3;KCNF1;GABBR2;KCNH4;KCND1;KCNC1;KCNC2;ABCC8;KCNJ12;KCNJ9;KCNA1;KCNA4;KCNJ16;KCNAB1;KCNS2;KCNN1;KCNK3;HCN2;KCNH1;KCNK4;HCN1
Transmission across Chemical Synapses Homo sapiens R-HSA-112315	31/211	4.0313782369617114E-13	7.592429012944557E-11	0	0	5.70382183908046	162.78421138214028	CAMK2B;ACHE;RASGRF1;CAMK2A;SLC1A2;GRIK4;GRIK1;ADCY2;RIMS1;GRIN2A;NEFL;CACNG2;CACNG3;GRIA4;PRKCG;GABRA2;KCNJ4;GABBR2;GABRA1;SLC32A1;SYT1;GABRA5;KCNJ12;KCNJ9;CACNA2D3;GAD2;KCNJ16;GRIN2C;SYN2;GABRG2;GRIN1
Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell Homo sapiens R-HSA-112314	23/142	5.920871307694975E-11	8.363230722119153E-9	0	0	6.334105070599668	149.16787293781724	PRKCG;CAMK2B;GABRA2;KCNJ4;GABBR2;GABRA1;KCNJ12;KCNJ9;GABRA5;RASGRF1;CAMK2A;GRIK4;KCNJ16;GRIK1;ADCY2;GRIN2C;GABRG2;GRIN1;GRIN2A;NEFL;CACNG2;CACNG3;GRIA4
Voltage gated Potassium channels Homo sapiens R-HSA-1296072	11/43	4.677151039466534E-8	5.2851806745971834E-6	0	0	11.089947916666667	187.17604746740918	KCNF1;KCNH3;KCNH4;KCND1;KCNC1;KCNC2;KCNS2;KCNA1;KCNA4;KCNAB1;KCNH1
Neurotoxicity of clostridium toxins Homo sapiens R-HSA-168799	6/10	1.5005534503597604E-7	1.2879604981988274E-5	0	0	48.06198347107438	755.1624594268932	STX1B;SYT2;SV2C;SV2B;SYT1;SV2A
Cardiac conduction Homo sapiens R-HSA-5576891	18/135	1.595703272104742E-7	1.2879604981988274E-5	0	0	4.9998702814891685	78.25187524873274	RYR1;CAMK2B;KCNJ4;KCND1;KCNIP1;KCNJ12;CAMK2A;KCNIP4;CACNA2D3;ATP1A3;ATP1A2;SLC8A2;FXYD7;CACNG2;CACNG3;KCNK3;SCN2B;KCNK4
Ras activation uopn Ca2+ infux through NMDA receptor Homo sapiens R-HSA-442982	7/17	3.5747355404033694E-7	2.2441395336976708E-5	0	0	22.4591059602649	333.38756068916484	CAMK2B;GRIN2A;RASGRF1;CAMK2A;NEFL;GRIN2C;GRIN1
Unblocking of NMDA receptor, glutamate binding and activation Homo sapiens R-HSA-438066	7/17	3.5747355404033694E-7	2.2441395336976708E-5	0	0	22.4591059602649	333.38756068916484	CAMK2B;GRIN2A;CAMK2A;NEFL;GRIN2C;GRIN1;GRIA4
Muscle contraction Homo sapiens R-HSA-397014	21/196	6.554009827061792E-7	3.703015552289912E-5	0	0	3.9079322033898305	55.641211404420034	RYR1;CAMK2B;KCNJ4;KCND1;KCNIP1;KCNJ12;CAMK2A;KCNIP4;CACNA2D3;LMOD1;ATP1A3;ATP1A2;SLC8A2;FXYD7;MYH11;CACNG2;MYL9;CACNG3;KCNK3;SCN2B;KCNK4
LGI-ADAM interactions Homo sapiens R-HSA-5682910	6/14	1.932340193334072E-6	9.925201902125007E-5	0	0	24.02603305785124	316.1052012824892	LGI1;STX1B;LGI4;LGI3;CACNG2;CACNG3
CREB phosphorylation through the activation of CaMKII Homo sapiens R-HSA-442729	6/15	3.137403857278956E-6	1.4771943161355085E-4	0	0	21.355371900826448	270.6177263970231	CAMK2B;GRIN2A;CAMK2A;NEFL;GRIN2C;GRIN1
GABA receptor activation Homo sapiens R-HSA-977443	10/55	5.570233843322735E-6	2.4209093242133427E-4	0	0	7.152523571824736	86.5317560416556	GABRA2;KCNJ4;GABBR2;GABRA1;KCNJ12;KCNJ9;GABRA5;KCNJ16;ADCY2;GABRG2
Transmembrane transport of small molecules Homo sapiens R-HSA-382551	39/594	6.774514920729658E-6	2.734000664437326E-4	0	0	2.3137592137592136	27.53915530072261	SLC24A2;RYR1;CAMK2B;SLC24A4;TTYH1;CAMK2A;SLC5A11;SLC1A2;ATP1A3;ADCY2;AQP4;ATP1A2;SLC2A5;SLC2A6;SLC8A2;BEST1;UNC80;NIPAL4;TRPM2;HEPH;SLCO2B1;APOD;EMB;GABRA2;GABRA1;SLC14A1;SLC15A2;SLC12A5;SLC32A1;GABRA5;ABCC8;SLC12A1;GABRG2;ANO3;SLC6A7;SLCO4A1;ATP13A4;FXYD7;SGK2
CREB phosphorylation through the activation of Ras Homo sapiens R-HSA-442742	7/27	1.2507061583434386E-5	4.710993196426952E-4	0	0	11.223758278145695	126.70744440172693	CAMK2B;GRIN2A;RASGRF1;CAMK2A;NEFL;GRIN2C;GRIN1
