Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Axon guidance	5/325	0.005283543342207783	0.28949926981030977	0	0	4.787841796875	25.103412546398648	ROBO2;EPHA5;DCX;CRMP1;SCN3A
Interleukin-4 regulation of apoptosis	4/267	0.013629912603754612	0.28949926981030977	0	0	4.6020473822755195	19.768041355492574	VCAN;LRRTM2;PTX3;ELAVL2
Developmental biology	5/420	0.014941978888267824	0.28949926981030977	0	0	3.67394578313253	15.443727411727902	ROBO2;CHD9;DCX;CRMP1;SCN3A
Neurofascin interactions	1/7	0.023904862429754863	0.28949926981030977	0	0	48.83578431372549	182.336868459542	DCX
Binding of RNA by insulin-like growth factor 2 mRNA binding proteins (IGF2BPs/IMPs/VICKZs)	1/8	0.027273557473830964	0.28949926981030977	0	0	41.857142857142854	150.7626325151401	IGF2BP3
Transmission across chemical synapses	3/190	0.02797935593838194	0.28949926981030977	0	0	4.799222168206126	17.1634022267648	GRIP1;GRIK2;CACNA1E
Activation of calcium-permeable kainate receptor	1/10	0.033976614095502004	0.28949926981030977	0	0	32.552287581699346	110.09453231300331	GRIK2
Dermatan sulfate biosynthesis	1/10	0.033976614095502004	0.28949926981030977	0	0	32.552287581699346	110.09453231300331	VCAN
Opening of calcium channels triggered by depolarization of the presynaptic terminal	1/12	0.04063414727978552	0.28949926981030977	0	0	26.63101604278075	85.30304582535365	CACNA1E
Extracellular matrix organization	2/93	0.04103666904904655	0.28949926981030977	0	0	6.508118746924717	20.78230559931987	MMP16;COL11A1
L1CAM interactions	2/94	0.04183725316224582	0.28949926981030977	0	0	6.437053861129137	20.431003692887035	DCX;SCN3A
Chondroitin sulfate/dermatan sulfate degradation	1/13	0.04394593765789982	0.28949926981030977	0	0	24.410539215686274	76.2779330882361	VCAN
GluR2-containing AMPA receptor trafficking	1/16	0.05381385761215394	0.28949926981030977	0	0	19.525490196078433	57.05786130626521	GRIP1
CRMPs in Sema3A signaling	1/16	0.05381385761215394	0.28949926981030977	0	0	19.525490196078433	57.05786130626521	CRMP1
Post-chaperonin tubulin folding pathway	1/17	0.05708080589311695	0.28949926981030977	0	0	18.30422794117647	52.410264641542106	TUBA1C
Lissencephaly gene (LIS1) in neuronal migration and development	1/19	0.06358138928022476	0.28949926981030977	0	0	16.268790849673202	44.82758713858363	DCX
Interleukin-1 regulation of extracellular matrix	2/120	0.06457966029698659	0.28949926981030977	0	0	5.012142676448267	13.732548051451655	STMN2;PTX3
Chondroitin sulfate biosynthesis	1/20	0.06681509876037244	0.28949926981030977	0	0	15.411764705882353	41.70155664670343	VCAN
Neuronal system	3/283	0.07436586796459839	0.28949926981030977	0	0	3.1900974025974027	8.290291803973325	GRIP1;GRIK2;CACNA1E
Endogenous Toll-like receptor signaling	1/24	0.0796402508235888	0.28949926981030977	0	0	12.728900255754477	32.20711721652364	VCAN
ERBB2 role in signal transduction and oncology	1/26	0.0859875288365276	0.28949926981030977	0	0	11.709411764705882	28.729662442835576	GRIP1
YAP1- and WWTR1 (TAZ)-stimulated gene expression	1/26	0.0859875288365276	0.28949926981030977	0	0	11.709411764705882	28.729662442835576	CHD9
Interaction between L1-type proteins and ankyrins	1/26	0.0859875288365276	0.28949926981030977	0	0	11.709411764705882	28.729662442835576	SCN3A
CARM1 and regulation of the estrogen receptor	1/26	0.0859875288365276	0.28949926981030977	0	0	11.709411764705882	28.729662442835576	GRIP1
Tetrasaccharide linker sequence formation in glycosaminoglycan biosynthesis	1/26	0.0859875288365276	0.28949926981030977	0	0	11.709411764705882	28.729662442835576	VCAN
Cooperation of prefoldin and TriC/CCT  in actin and tubulin folding	1/27	0.08914497089070929	0.28949926981030977	0	0	11.258484162895927	27.217288055780262	TUBA1C
TWEAK regulation of gene expression	1/27	0.08914497089070929	0.28949926981030977	0	0	11.258484162895927	27.217288055780262	MMP16
RORA activates circadian expression	1/27	0.08914497089070929	0.28949926981030977	0	0	11.258484162895927	27.217288055780262	CHD9
Matrix metalloproteinases	1/29	0.0954276419328769	0.28949926981030977	0	0	10.453256302521009	24.558744410167414	MMP16
Activation of kainate receptors upon glutamate binding	1/30	0.098552942914148	0.28949926981030977	0	0	10.092292089249494	23.385469502095955	GRIK2
Activation of matrix metalloproteinases	1/30	0.098552942914148	0.28949926981030977	0	0	10.092292089249494	23.385469502095955	MMP16
Glutamate binding and activation of AMPA receptors and synaptic plasticity	1/30	0.098552942914148	0.28949926981030977	0	0	10.092292089249494	23.385469502095955	GRIP1
Stathmin and breast cancer resistance to antimicrotubule agents	1/31	0.10166760200422945	0.2895986238908354	0	0	9.755392156862746	22.301280984489107	TUBA1C
Signaling by Robo receptor	1/32	0.10477165490425638	0.28966281061765	0	0	9.440227703984819	21.296889488505485	ROBO2
Ephrin receptor A forward pathway	1/34	0.11094808432236665	0.29797485503721327	0	0	8.867201426024955	19.49625278180184	EPHA5
Phospholipids as signaling intermediaries	1/36	0.11708251441891135	0.30469661312885354	0	0	8.359663865546219	17.930445246544526	SPHKAP
Latent infection of Homo sapiens with Mycobacterium tuberculosis	1/37	0.12013406773228928	0.30469661312885354	0	0	8.12704248366013	17.222397118954486	MSRA
BMAL1-CLOCK/NPAS2 activates circadian expression	1/38	0.12317522658400461	0.30469661312885354	0	0	7.906995230524642	16.558412958427734	CHD9
Syndecan 1 pathway	1/46	0.14713445914858997	0.3546317733324989	0	0	6.498692810457516	12.454149635186281	COL11A1
Chondroitin sulfate/dermatan sulfate metabolism	1/48	0.15302273806390057	0.3579877298766218	0	0	6.221526908635795	11.678855914035092	VCAN
Type 2 diabetes mellitus	1/50	0.15887094888113906	0.3579877298766218	0	0	5.966986794717887	10.977245117600177	CACNA1E
Type I interferon (interferon-alpha/beta) pathway	1/51	0.1617801127894188	0.3579877298766218	0	0	5.847352941176471	10.651053922995473	PTPRD
Heparan sulfate/heparin glycosaminoglycan (HS-GAG) metabolism	1/52	0.16467936026631186	0.3579877298766218	0	0	5.732410611303345	10.3398641118515	VCAN
