Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Glioblastoma, Proneural Subtype	2/11	6.323237618724635E-4	0.03414548314111303	0	0	66.07628524046434	486.7251202913541	DCX;DLL3
BMP Signaling Impairment in Granulosa Cell in POF	2/21	0.002361133532127177	0.039028219897404806	0	0	31.28358208955224	189.22229586133935	VCAN;PTX3
Synaptic Potentiation by PKMZ in LTP Maintenance - Active State	2/24	0.0030825624075389267	0.039028219897404806	0	0	27.013568521031207	156.1922931973931	EPHA5;GRIP1
Proteins Involved in Glioma	5/290	0.00326548281026571	0.039028219897404806	0	0	5.385416666666667	30.82799725453165	EPHA5;VCAN;FABP7;DCX;SOX11
Proteins with Altered Expression in Medulloblastoma	2/26	0.003613724064574519	0.039028219897404806	0	0	24.75995024875622	139.2256073402869	FOXG1;SOX11
Dendritic Spine Morphogenesis and Stabilization	2/40	0.008407640867576695	0.07566876780819026	0	0	15.626865671641792	74.6747646924916	GRIP1;DCX
TACR1 -> Membrane Transport	1/8	0.027273557473830964	0.1863434270636715	0	0	41.857142857142854	150.7626325151401	CACNA1E
Synaptic Potentiation by PKMZ in LTP Maintenance - Basal State	1/11	0.03731105207809084	0.1863434270636715	0	0	29.29558823529412	96.33753689320037	GRIP1
OPRL1 -> Ion Channels	1/11	0.03731105207809084	0.1863434270636715	0	0	29.29558823529412	96.33753689320037	CACNA1E
DDR1 -> NF-kB Signaling	1/12	0.04063414727978552	0.1863434270636715	0	0	26.63101604278075	85.30304582535365	COL11A1
Phelan-McDermid Syndrome	1/13	0.04394593765789982	0.1863434270636715	0	0	24.410539215686274	76.2779330882361	GRIP1
Proteins Involved in Melanoma	3/238	0.0491523129638118	0.1863434270636715	0	0	3.8096711798839458	11.47789685618617	VCAN;FABP7;IGF2BP3
Medulloblastoma	2/104	0.05015879081023982	0.1863434270636715	0	0	5.803043605501903	17.365964816305862	FOXG1;SOX11
Proteins Involved in Rett Syndrome	1/15	0.050535755162539275	0.1863434270636715	0	0	20.92121848739496	62.4513889160488	FOXG1
GRM1/5 (Postsynaptic) -> Ion Channels	1/16	0.05381385761215394	0.1863434270636715	0	0	19.525490196078433	57.05786130626521	CACNA1E
Complement Cascade Activation by Pentraxins	1/18	0.06033663736484967	0.1863434270636715	0	0	17.226643598615915	48.3692416453001	PTX3
OPRD/OPRM -> Ion Channels	1/19	0.06358138928022476	0.1863434270636715	0	0	16.268790849673202	44.82758713858363	CACNA1E
Proteins Involved in Epilepsy	3/270	0.06657805637415362	0.1863434270636715	0	0	3.347633639768471	9.070012433005898	FOXG1;GRIK2;SCN3A
Proteins Involved in Mantle Cell Lymphoma	1/21	0.07003780282860121	0.1863434270636715	0	0	14.640441176470588	38.92483584794597	SOX11
SIRT2 Signaling in Aging	1/22	0.07324953836364095	0.1863434270636715	0	0	13.942577030812325	36.444269724198726	TUBA1C
Proteins Involved in Hirschsprung Disease	1/23	0.07645034215035326	0.1863434270636715	0	0	13.308155080213904	34.216782125997526	DCX
CHRM1/2/3/5 -> Ion Channels	1/24	0.0796402508235888	0.1863434270636715	0	0	12.728900255754477	32.20711721652364	CACNA1E
beta-Cell Granules Exocytois	1/24	0.0796402508235888	0.1863434270636715	0	0	12.728900255754477	32.20711721652364	CACNA1E
Myeloid Cell Differentiation Block in Leukemia	1/25	0.08281930091718732	0.1863434270636715	0	0	12.197916666666666	30.386158751602967	RUNX1T1
Inherited Channelopathies	1/27	0.08914497089070929	0.19255313712393207	0	0	11.258484162895927	27.217288055780262	CACNA1E
NOTCH Signaling Deregulation in Cancer	1/29	0.0954276419328769	0.19819587170674433	0	0	10.453256302521009	24.558744410167414	DLL3
Proteins Involved in Glioblastoma	2/178	0.12575973673483576	0.2515194734696715	0	0	3.350576662143826	6.947025487318949	PTPRD;CRMP1
Ependymoma	1/43	0.1382263210059717	0.2573869425628439	0	0	6.963935574229692	13.780673953906739	DLL3
T-Cell Cytotoxic Activation	1/43	0.1382263210059717	0.2573869425628439	0	0	6.963935574229692	13.780673953906739	VCAN
Hyaluronic Acid, CD44 and HMMR in Cancer Cell Invasion and Survival	1/56	0.17617785044579695	0.3171201308024345	0	0	5.314438502673797	9.227253798583902	VCAN
Toll-like Receptors in Sterile Inflammation	1/60	0.1875203226168755	0.32664830391326705	0	0	4.953140578265204	8.290903771791394	VCAN
Toll-like Receptor Independent Sterile Inflammation	1/66	0.20424605314134422	0.3337788870684991	0	0	4.494570135746606	7.139309452358317	VCAN
Low-Grade Serous Ovarian Carcinoma	1/70	0.21520754727818772	0.3337788870684991	0	0	4.2331628303495314	6.502783158098963	DLL3
Proteins Involved in Myocardial Ischemia	2/252	0.21594179373838163	0.3337788870684991	0	0	2.3499701492537315	3.601908241834504	MSRA;PTX3
Alveolar Macrophages Dysfunction in COPD	1/72	0.22063235584403965	0.3337788870684991	0	0	4.113504556752279	6.216564657571732	VCAN
Integrins in Cancer Cell Motility, Invasion and Survival	1/75	0.22870034854693458	0.3337788870684991	0	0	3.9461446740858506	5.821915556214123	VCAN
Glioma Invasion Signaling	1/75	0.22870034854693458	0.3337788870684991	0	0	3.9461446740858506	5.821915556214123	COL11A1
High-Grade Serous Ovarian Carcinoma	1/82	0.24720695474341325	0.3422865527216491	0	0	3.603848946986202	5.036484927636775	DLL3
Acute Myeloid Leukemia	1/82	0.24720695474341325	0.3422865527216491	0	0	3.603848946986202	5.036484927636775	RUNX1T1
Smooth Muscle Cell Dysfunction in Pulmonary Hypertension	1/88	0.26272094465889095	0.3527410652505667	0	0	3.3542934415145367	4.483559454877068	DLL3
Epithelial to Mesenchymal Transition in Cancer: Overview	1/90	0.2678219199124673	0.3527410652505667	0	0	3.278585591539987	4.319316842679073	DLL3
Proteins Involved in Cataract	1/94	0.2779197524110875	0.3533076548344724	0	0	3.1369386464263123	4.016607976369818	MSRA
Proteins Involved in Huntington Disease	1/98	0.28788031134660713	0.3533076548344724	0	0	3.0069739235900546	3.744315415160726	GRIK2
Proteins Involved in Parkinson's Disease	1/98	0.28788031134660713	0.3533076548344724	0	0	3.0069739235900546	3.744315415160726	MSRA
T-Cell Acute Lymphoblastic Leukemia	1/103	0.30014076844918286	0.3601689221390194	0	0	2.8588523644752017	3.440639358990668	DLL3
Proteins with Altered Expression in Cancer Metastases	1/106	0.30739694052464905	0.36085727800719675	0	0	2.776750700280112	3.2754978898915463	VCAN
Ca2+ Flux Regulation	1/109	0.3145789593222748	0.36143114475325194	0	0	2.699210239651416	3.1216910888032805	CACNA1E
Receptors and Adaptor Proteins Activated in Cancer	1/125	0.351661193452608	0.395618842634184	0	0	2.349027514231499	2.454938318614713	COL11A1
Ovarian Cancer	1/130	0.3628386031588991	0.3998629504200112	0	0	2.2574099407204744	2.2885557936005516	DLL3
Proteins Involved in Chronic Obstructive Pulmonary Disease	1/170	0.44568025382853454	0.48133467413481734	0	0	1.7196310476853462	1.389725856324992	PTX3
Proteins Involved in Atherosclerosis	1/200	0.500755522308534	0.5302117295031537	0	0	1.4581732190363583	1.0085269537658985	VCAN
Proteins Involved in Hearing Loss	1/209	0.5162001858810296	0.5360540391841462	0	0	1.3944428733031675	0.9220901751343455	COL11A1
Proteins Involved in Neuroblastoma	1/216	0.5278862809533558	0.5378463994619096	0	0	1.3485636114911081	0.8615627620241407	PTPRD
Proteins Involved in Endometriosis	1/256	0.5895182003551676	0.5895182003551676	0	0	1.134717416378316	0.5996410615408795	MMP16
