Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
central nervous system development (GO:0007417)	6/217	1.0325716000448193E-4	0.02198153442189843	0	0	8.900925299029565	81.69525570287315	ROBO2;VCAN;DCX;SOX11;TBR1;POU3F3
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	5/142	1.311487098285277E-4	0.02198153442189843	0	0	11.28763686131387	100.90220288064957	ROBO2;TRO;PTPRD;GRID2;DCHS1
nervous system development (GO:0007399)	8/455	1.6737208950684082E-4	0.02198153442189843	0	0	5.716507133164631	49.70669384481509	ROBO2;VCAN;PCDHGC4;FABP7;DCX;CRMP1;DCHS1;POU3F3
regulation of synapse assembly (GO:0051963)	3/35	2.3764378866173407E-4	0.023407913183180806	0	0	28.265625	235.86922631813886	ROBO2;PTPRD;GRID2
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	3/47	5.71586570405661E-4	0.045041021747966085	0	0	20.544421487603305	153.40713889250216	PTPRD;GRID2;DCHS1
positive regulation of nervous system development (GO:0051962)	3/52	7.694991105943972E-4	0.05053044159569876	0	0	18.443413729128014	132.23504847906776	PTPRD;GRID2;SOX11
skeletal system development (GO:0001501)	4/146	0.001630819483652134	0.09179183950842011	0	0	8.575947995666306	55.04620276007462	VCAN;STC1;SOX11;DLL3
glial cell development (GO:0021782)	2/20	0.0021410236112441882	0.10336517907312308	0	0	33.02321724709785	202.97625510439198	PRDM8;SOX11
synaptic transmission, glutamatergic (GO:0035249)	2/21	0.002361133532127177	0.10336517907312308	0	0	31.28358208955224	189.22229586133935	GRID2;GRIK2
positive regulation of synapse assembly (GO:0051965)	2/26	0.003613724064574519	0.14238072814423605	0	0	24.75995024875622	139.2256073402869	PTPRD;GRID2
positive regulation of cell communication (GO:0010647)	2/28	0.00418439985127567	0.1498775946729649	0	0	22.85304247990815	125.15221878494977	SOX11;GRIK2
glutamate receptor signaling pathway (GO:0007215)	2/36	0.0068512571060586475	0.2058510669824141	0	0	17.46883230904302	87.0528360021458	GRID2;GRIK2
positive regulation of signaling (GO:0023056)	2/36	0.0068512571060586475	0.2058510669824141	0	0	17.46883230904302	87.0528360021458	SOX11;GRIK2
membrane depolarization during action potential (GO:0086010)	2/38	0.007611311264141638	0.2058510669824141	0	0	16.496683250414595	80.47279742776816	CACNA1E;SCN3A
regulation of neuron projection development (GO:0010975)	3/119	0.008089874974200417	0.2058510669824141	0	0	7.764498432601881	37.402691527212916	STMN2;CRMP1;CSMD3
negative regulation of cell projection organization (GO:0031345)	2/41	0.008819245977684137	0.2058510669824141	0	0	15.225411404515881	72.0286640735087	STMN2;CRMP1
membrane depolarization (GO:0051899)	2/43	0.009669013732444937	0.2058510669824141	0	0	14.48125227520932	67.17605253596004	CACNA1E;SCN3A
generation of neurons (GO:0048699)	3/130	0.010290129924830246	0.2058510669824141	0	0	7.088045812455261	32.43893855324092	PTPRD;DCX;SOX11
neuron differentiation (GO:0030182)	3/139	0.012324655073634474	0.2058510669824141	0	0	6.615975935828877	29.08484606629076	EPHA5;PTPRD;SOX11
negative regulation of neuron projection development (GO:0010977)	2/51	0.013412863516196458	0.2058510669824141	0	0	12.112092598233323	52.221784663977374	STMN2;CRMP1
action potential (GO:0001508)	2/54	0.014954564489960439	0.2058510669824141	0	0	11.411595866819747	47.959955677421554	CACNA1E;SCN3A
positive regulation of cell morphogenesis involved in differentiation (GO:0010770)	2/58	0.01712277454839078	0.2058510669824141	0	0	10.594349680170575	43.090884275618905	ROBO2;PTPRD
protein repair (GO:0030091)	1/6	0.02052467181593053	0.2058510669824141	0	0	58.60588235294118	227.74993771071073	MSRA
transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185)	1/6	0.02052467181593053	0.2058510669824141	0	0	58.60588235294118	227.74993771071073	PTPRD
negative regulation of glial cell proliferation (GO:0060253)	1/6	0.02052467181593053	0.2058510669824141	0	0	58.60588235294118	227.74993771071073	SOX11
prepulse inhibition (GO:0060134)	1/6	0.02052467181593053	0.2058510669824141	0	0	58.60588235294118	227.74993771071073	GRID2
plasma membrane fusion (GO:0045026)	1/6	0.02052467181593053	0.2058510669824141	0	0	58.60588235294118	227.74993771071073	VASH2
cardiac ventricle formation (GO:0003211)	1/6	0.02052467181593053	0.2058510669824141	0	0	58.60588235294118	227.74993771071073	SOX11
retinal ganglion cell axon guidance (GO:0031290)	1/6	0.02052467181593053	0.2058510669824141	0	0	58.60588235294118	227.74993771071073	ROBO2
negative regulation of neuron differentiation (GO:0045665)	2/64	0.020608664054602554	0.2058510669824141	0	0	9.566201251805488	37.13641136404177	STMN2;CRMP1
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	2/64	0.020608664054602554	0.2058510669824141	0	0	9.566201251805488	37.13641136404177	ROBO2;TRO
negative regulation of synapse organization (GO:1905809)	1/7	0.023904862429754863	0.2058510669824141	0	0	48.83578431372549	182.336868459542	ROBO2
noradrenergic neuron differentiation (GO:0003357)	1/7	0.023904862429754863	0.2058510669824141	0	0	48.83578431372549	182.336868459542	SOX11
metanephric nephron tubule development (GO:0072234)	1/7	0.023904862429754863	0.2058510669824141	0	0	48.83578431372549	182.336868459542	POU3F3
regulation of anion transport (GO:0044070)	1/7	0.023904862429754863	0.2058510669824141	0	0	48.83578431372549	182.336868459542	STC1
regulation of cell communication (GO:0010646)	2/71	0.02501484802107346	0.2058510669824141	0	0	8.592688730261735	31.69229105062627	GRID2;GRIK2
regulation of long term synaptic depression (GO:1900452)	1/8	0.027273557473830964	0.2058510669824141	0	0	41.857142857142854	150.7626325151401	GRID2
cell migration involved in heart development (GO:0060973)	1/8	0.027273557473830964	0.2058510669824141	0	0	41.857142857142854	150.7626325151401	DCHS1
excitatory synapse assembly (GO:1904861)	1/8	0.027273557473830964	0.2058510669824141	0	0	41.857142857142854	150.7626325151401	GRID2
mitral valve morphogenesis (GO:0003183)	1/9	0.030630795282474307	0.2058510669824141	0	0	36.623161764705884	127.65916393890298	DCHS1
positive regulation of voltage-gated potassium channel activity (GO:1903818)	1/9	0.030630795282474307	0.2058510669824141	0	0	36.623161764705884	127.65916393890298	LRRC55
negative regulation of microtubule polymerization (GO:0031115)	1/9	0.030630795282474307	0.2058510669824141	0	0	36.623161764705884	127.65916393890298	STMN2
detection of mechanical stimulus involved in sensory perception (GO:0050974)	1/9	0.030630795282474307	0.2058510669824141	0	0	36.623161764705884	127.65916393890298	COL11A1
columnar/cuboidal epithelial cell differentiation (GO:0002065)	1/9	0.030630795282474307	0.2058510669824141	0	0	36.623161764705884	127.65916393890298	SOX11
embryonic digestive tract morphogenesis (GO:0048557)	1/9	0.030630795282474307	0.2058510669824141	0	0	36.623161764705884	127.65916393890298	SOX11
modulation of chemical synaptic transmission (GO:0050804)	2/82	0.03263286994541969	0.2058510669824141	0	0	7.407089552238806	25.350284146821352	GRID2;GRIK2
cell differentiation involved in metanephros development (GO:0072202)	1/10	0.033976614095502004	0.2058510669824141	0	0	32.552287581699346	110.09453231300331	POU3F3
positive regulation of calcium ion import (GO:0090280)	1/10	0.033976614095502004	0.2058510669824141	0	0	32.552287581699346	110.09453231300331	STC1
negative regulation by host of viral process (GO:0044793)	1/10	0.033976614095502004	0.2058510669824141	0	0	32.552287581699346	110.09453231300331	PTX3
presynaptic membrane assembly (GO:0097105)	1/10	0.033976614095502004	0.2058510669824141	0	0	32.552287581699346	110.09453231300331	PTPRD
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	1/10	0.033976614095502004	0.2058510669824141	0	0	32.552287581699346	110.09453231300331	CELF3
aspartate family amino acid metabolic process (GO:0009066)	1/10	0.033976614095502004	0.2058510669824141	0	0	32.552287581699346	110.09453231300331	MSRA
regulation of actin filament-based movement (GO:1903115)	1/10	0.033976614095502004	0.2058510669824141	0	0	32.552287581699346	110.09453231300331	STC1
neuroepithelial cell differentiation (GO:0060563)	1/10	0.033976614095502004	0.2058510669824141	0	0	32.552287581699346	110.09453231300331	SOX11
epithelial cell morphogenesis (GO:0003382)	1/10	0.033976614095502004	0.2058510669824141	0	0	32.552287581699346	110.09453231300331	STC1
positive regulation of cellular component biogenesis (GO:0044089)	2/87	0.036359513416751664	0.2058510669824141	0	0	6.969622475856014	23.099415535174668	PTPRD;GRID2
methionine metabolic process (GO:0006555)	1/11	0.03731105207809084	0.2058510669824141	0	0	29.29558823529412	96.33753689320037	MSRA
regulation of hippo signaling (GO:0035330)	1/11	0.03731105207809084	0.2058510669824141	0	0	29.29558823529412	96.33753689320037	SOX11
morphogenesis of an epithelial sheet (GO:0002011)	1/11	0.03731105207809084	0.2058510669824141	0	0	29.29558823529412	96.33753689320037	SOX11
regulation of short-term neuronal synaptic plasticity (GO:0048172)	1/11	0.03731105207809084	0.2058510669824141	0	0	29.29558823529412	96.33753689320037	GRIK2
presynaptic membrane organization (GO:0097090)	1/11	0.03731105207809084	0.2058510669824141	0	0	29.29558823529412	96.33753689320037	PTPRD
negative regulation of chemotaxis (GO:0050922)	1/11	0.03731105207809084	0.2058510669824141	0	0	29.29558823529412	96.33753689320037	ROBO2
modulation by host of viral process (GO:0044788)	1/11	0.03731105207809084	0.2058510669824141	0	0	29.29558823529412	96.33753689320037	PTX3
spinal cord development (GO:0021510)	1/11	0.03731105207809084	0.2058510669824141	0	0	29.29558823529412	96.33753689320037	SOX11
somite development (GO:0061053)	1/11	0.03731105207809084	0.2058510669824141	0	0	29.29558823529412	96.33753689320037	SOX11
positive regulation of protein depolymerization (GO:1901881)	1/12	0.04063414727978552	0.2058510669824141	0	0	26.63101604278075	85.30304582535365	STMN2
regulation of hormone secretion (GO:0046883)	1/12	0.04063414727978552	0.2058510669824141	0	0	26.63101604278075	85.30304582535365	SOX11
positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	1/12	0.04063414727978552	0.2058510669824141	0	0	26.63101604278075	85.30304582535365	LRRC55
dermatan sulfate biosynthetic process (GO:0030208)	1/12	0.04063414727978552	0.2058510669824141	0	0	26.63101604278075	85.30304582535365	VCAN
regulation of cytokine biosynthetic process (GO:0042035)	1/12	0.04063414727978552	0.2058510669824141	0	0	26.63101604278075	85.30304582535365	IGF2BP3
cell differentiation in hindbrain (GO:0021533)	1/12	0.04063414727978552	0.2058510669824141	0	0	26.63101604278075	85.30304582535365	GRID2
oligodendrocyte development (GO:0014003)	1/12	0.04063414727978552	0.2058510669824141	0	0	26.63101604278075	85.30304582535365	PRDM8
axonogenesis (GO:0007409)	3/223	0.04187844913254327	0.2058510669824141	0	0	4.072520661157025	12.922042591611616	ROBO2;EPHA5;LRRC55
regulation of cytoskeleton organization (GO:0051493)	2/95	0.04264372213182034	0.2058510669824141	0	0	6.36751725244744	20.088722334802327	EPHA5;STMN2
dermatan sulfate metabolic process (GO:0030205)	1/13	0.04394593765789982	0.2058510669824141	0	0	24.410539215686274	76.2779330882361	VCAN
chondroitin sulfate catabolic process (GO:0030207)	1/13	0.04394593765789982	0.2058510669824141	0	0	24.410539215686274	76.2779330882361	VCAN
regulation of macromolecule biosynthetic process (GO:0010556)	1/13	0.04394593765789982	0.2058510669824141	0	0	24.410539215686274	76.2779330882361	IGF2BP3
positive regulation of neuron projection development (GO:0010976)	2/97	0.04427411965171628	0.2058510669824141	0	0	6.232835820895523	19.42996178051616	ROBO2;STMN2
extracellular matrix organization (GO:0030198)	3/229	0.04471761884797768	0.2058510669824141	0	0	3.9631938857602576	12.315179922822043	VCAN;MMP16;COL11A1
regulation of insulin secretion (GO:0050796)	2/98	0.04509795132226507	0.2058510669824141	0	0	6.167599502487562	19.112887944326236	EPHA5;CACNA1E
positive regulation of neuron differentiation (GO:0045666)	2/98	0.04509795132226507	0.2058510669824141	0	0	6.167599502487562	19.112887944326236	STMN2;SOX11
clathrin coat assembly (GO:0048268)	1/14	0.04724646104265027	0.2058510669824141	0	0	22.531674208144796	68.77517598546079	NSG2
oligodendrocyte differentiation (GO:0048709)	1/14	0.04724646104265027	0.2058510669824141	0	0	22.531674208144796	68.77517598546079	PRDM8
stem cell development (GO:0048864)	1/14	0.04724646104265027	0.2058510669824141	0	0	22.531674208144796	68.77517598546079	SOX11
neural crest cell differentiation (GO:0014033)	1/15	0.050535755162539275	0.2058510669824141	0	0	20.92121848739496	62.4513889160488	SOX11
mesenchymal cell development (GO:0014031)	1/15	0.050535755162539275	0.2058510669824141	0	0	20.92121848739496	62.4513889160488	SOX11
regulation of lymphocyte proliferation (GO:0050670)	1/15	0.050535755162539275	0.2058510669824141	0	0	20.92121848739496	62.4513889160488	SOX11
presynapse assembly (GO:0099054)	1/15	0.050535755162539275	0.2058510669824141	0	0	20.92121848739496	62.4513889160488	PTPRD
dermatan sulfate proteoglycan biosynthetic process (GO:0050651)	1/15	0.050535755162539275	0.2058510669824141	0	0	20.92121848739496	62.4513889160488	VCAN
digestive tract morphogenesis (GO:0048546)	1/15	0.050535755162539275	0.2058510669824141	0	0	20.92121848739496	62.4513889160488	SOX11
negative regulation of viral entry into host cell (GO:0046597)	1/15	0.050535755162539275	0.2058510669824141	0	0	20.92121848739496	62.4513889160488	PTX3
autonomic nervous system development (GO:0048483)	1/15	0.050535755162539275	0.2058510669824141	0	0	20.92121848739496	62.4513889160488	SOX11
positive regulation of CREB transcription factor activity (GO:0032793)	1/15	0.050535755162539275	0.2058510669824141	0	0	20.92121848739496	62.4513889160488	EPHA5
microtubule depolymerization (GO:0007019)	1/15	0.050535755162539275	0.2058510669824141	0	0	20.92121848739496	62.4513889160488	STMN2
positive regulation of cellular component organization (GO:0051130)	2/106	0.05188950186201511	0.2058510669824141	0	0	5.690872560275546	16.83723628035471	PTPRD;GRID2
positive regulation of epithelial cell proliferation (GO:0050679)	2/107	0.05276285408062249	0.2058510669824141	0	0	5.636389481165601	16.581963955656132	VASH2;SOX11
neural tube development (GO:0021915)	1/16	0.05381385761215394	0.2058510669824141	0	0	19.525490196078433	57.05786130626521	SOX11
negative regulation of transcription regulatory region DNA binding (GO:2000678)	1/16	0.05381385761215394	0.2058510669824141	0	0	19.525490196078433	57.05786130626521	SOX11
sialylation (GO:0097503)	1/16	0.05381385761215394	0.2058510669824141	0	0	19.525490196078433	57.05786130626521	ST6GAL2
positive regulation of dendrite morphogenesis (GO:0050775)	1/16	0.05381385761215394	0.2058510669824141	0	0	19.525490196078433	57.05786130626521	PTPRD
regulation of stem cell proliferation (GO:0072091)	1/16	0.05381385761215394	0.2058510669824141	0	0	19.525490196078433	57.05786130626521	SOX11
sympathetic nervous system development (GO:0048485)	1/16	0.05381385761215394	0.2058510669824141	0	0	19.525490196078433	57.05786130626521	SOX11
positive regulation of mRNA processing (GO:0050685)	1/16	0.05381385761215394	0.2058510669824141	0	0	19.525490196078433	57.05786130626521	CELF3
mesonephric tubule development (GO:0072164)	1/17	0.05708080589311695	0.21018539740082315	0	0	18.30422794117647	52.410264641542106	ROBO2
positive regulation of hormone secretion (GO:0046887)	1/17	0.05708080589311695	0.21018539740082315	0	0	18.30422794117647	52.410264641542106	SOX11
positive regulation of stem cell proliferation (GO:2000648)	1/17	0.05708080589311695	0.21018539740082315	0	0	18.30422794117647	52.410264641542106	SOX11
ureteric bud development (GO:0001657)	1/17	0.05708080589311695	0.21018539740082315	0	0	18.30422794117647	52.410264641542106	ROBO2
negative regulation of microtubule depolymerization (GO:0007026)	1/18	0.06033663736484967	0.21537550832294428	0	0	17.226643598615915	48.3692416453001	STMN2
regulation of cellular response to transforming growth factor beta stimulus (GO:1903844)	1/18	0.06033663736484967	0.21537550832294428	0	0	17.226643598615915	48.3692416453001	SOX11
negative regulation of gene expression (GO:0010629)	5/618	0.062030112939964945	0.21537550832294428	0	0	2.4620207993474716	6.844750981036936	FOXG1;SOX11;IGF2BP3;POU3F3;RUNX1T1
regulation of protein kinase A signaling (GO:0010738)	1/19	0.06358138928022476	0.21537550832294428	0	0	16.268790849673202	44.82758713858363	SPHKAP
excitatory postsynaptic potential (GO:0060079)	1/19	0.06358138928022476	0.21537550832294428	0	0	16.268790849673202	44.82758713858363	GRID2
negative regulation of lymphocyte activation (GO:0051250)	1/19	0.06358138928022476	0.21537550832294428	0	0	16.268790849673202	44.82758713858363	SOX11
endothelial cell development (GO:0001885)	1/19	0.06358138928022476	0.21537550832294428	0	0	16.268790849673202	44.82758713858363	STC1
negative regulation of calcium ion transport (GO:0051926)	1/19	0.06358138928022476	0.21537550832294428	0	0	16.268790849673202	44.82758713858363	STC1
brain development (GO:0007420)	2/119	0.06364128284608715	0.21537550832294428	0	0	5.05523663732619	13.924613515609533	ROBO2;TBR1
chondroitin sulfate biosynthetic process (GO:0030206)	1/20	0.06681509876037244	0.21537550832294428	0	0	15.411764705882353	41.70155664670343	VCAN
negative regulation of protein depolymerization (GO:1901880)	1/20	0.06681509876037244	0.21537550832294428	0	0	15.411764705882353	41.70155664670343	STMN2
negative regulation of ion transport (GO:0043271)	1/20	0.06681509876037244	0.21537550832294428	0	0	15.411764705882353	41.70155664670343	STC1
embryonic digestive tract development (GO:0048566)	1/20	0.06681509876037244	0.21537550832294428	0	0	15.411764705882353	41.70155664670343	SOX11
embryonic skeletal system development (GO:0048706)	1/21	0.07003780282860121	0.21537550832294428	0	0	14.640441176470588	38.92483584794597	SOX11
positive regulation of BMP signaling pathway (GO:0030513)	1/21	0.07003780282860121	0.21537550832294428	0	0	14.640441176470588	38.92483584794597	SOX11
