Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Fetalbrain	15/325	2.707195248217729E-13	7.850866219831413E-12	0	0	17.581541218637994	508.76924354813355	EPHA5;FOXG1;STMN2;CRMP1;SOX11;DLL3;TRO;PTPRD;MN1;NEUROD6;FABP7;DCX;DCHS1;SCN3A;RUNX1T1
SuperiorCervicalGanglion	6/602	0.017537084673446557	0.2542877277649751	0	0	3.0896452540747843	12.49278753155722	MMP16;ST7;SYT14;GRIK2;CSMD3;RUNX1T1
CiliaryGanglion	3/278	0.07132380312463704	0.5291756693284535	0	0	3.248925619834711	8.578869850622825	RNF182;SYT14;CSMD3
pineal night	5/674	0.08295088764676374	0.5291756693284535	0	0	2.249392750373692	5.599878011259677	ROBO2;EPHA5;CHD9;LRRTM2;GRIK2
pineal day	5/694	0.09123718436697474	0.5291756693284535	0	0	2.1818305515239476	5.223941053081446	ROBO2;EPHA5;CHD9;CELF3;LRRTM2
OccipitalLobe	1/35	0.11402053165072557	0.5478376937960094	0	0	8.605968858131488	18.686800643339396	PTPRD
Ovary	1/41	0.13223668470938157	0.5478376937960094	0	0	7.312867647058823	14.795115174308478	CACNA1E
GlobusPallidus	1/59	0.18469921670723702	0.6470459552077849	0	0	5.038793103448276	8.510655748278333	TBR1
Wholebrain	2/240	0.20080736540931254	0.6470459552077849	0	0	2.4699611187758688	3.9652983321592847	FOXG1;TBR1
Pancreas	1/96	0.282917075565896	0.7048729475936383	0	0	3.070588235294118	3.876929138212587	SP8
UterusCorpus	1/98	0.28788031134660713	0.7048729475936383	0	0	3.0069739235900546	3.744315415160726	CACNA1E
Amygdala	2/345	0.3345481998899221	0.7048729475936383	0	0	1.7047125886601975	1.866616498116974	FOXG1;LRRC3B
Appendix	1/127	0.35615515768690736	0.7048729475936383	0	0	2.3115079365079363	2.386374920664935	CSMD3
SmoothMuscle	2/363	0.3571737354993196	0.7048729475936383	0	0	1.6182246661429693	1.6660156329396318	STC1;PTX3
CD14+ Monocytes	2/383	0.38199860076848874	0.7048729475936383	0	0	1.5317115211344852	1.4740247123326926	VCAN;SP8
Kidney	1/142	0.38889541936200733	0.7048729475936383	0	0	2.0640383813099707	1.949370349948163	MSRA
SkeletalMuscle	2/441	0.4515477684881521	0.7516427116830825	0	0	1.3254003331860063	1.0537914932050976	TRO;SYT14
Adipocyte	1/181	0.4665368555274305	0.7516427116830825	0	0	1.6136437908496732	1.2302714871958786	COL11A1
Uterus	1/201	0.5024953095767056	0.7669665251433928	0	0	1.4508088235294119	0.9984016184966518	DCHS1
PrefrontalCortex	2/521	0.5399414798291655	0.7829151457522899	0	0	1.116498432692031	0.6880918611717967	CELF2;COL11A1
AtrioventricularNode	1/269	0.6077863256496964	0.7988211228814508	0	0	1.0789618086040387	0.5372494999987415	CSMD3
CardiacMyocytes	1/273	0.6132443487851156	0.7988211228814508	0	0	1.0628784602076125	0.519738863209925	MMP16
Liver	2/618	0.6335477871128747	0.7988211228814508	0	0	0.9359856561349099	0.42720243144680714	MSRA;RUNX1T1
Placenta	1/405	0.7568354506036885	0.8877079316258825	0	0	0.710796447291788	0.19803458561785453	IGF2BP3
Heart	1/415	0.7652654582981746	0.8877079316258825	0	0	0.6932722364308042	0.1854728553113855	DCHS1
CD8+ Tcells	1/602	0.8790571024892669	0.9405607014374259	0	0	0.47298619947146914	0.060970484882961674	CELF2
CD34+	1/645	0.8962558273091796	0.9405607014374259	0	0	0.4404229082937523	0.04823925037794862	CELF2
CD33+ Myeloid	1/679	0.9081275738016524	0.9405607014374259	0	0	0.41759934062120424	0.04024421986702291	VCAN
721 B lymphoblasts	2/1543	0.9735961321954284	0.9735961321954284	0	0	0.3562331108894205	0.00953233850673219	ST7;IGF2BP3
