Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neuronal System Homo sapiens R-HSA-112316	4/301	0.020240662044241794	0.24097480627978968	0	0	4.068168868168868	15.86610969521771	PTPRD;GRIP1;GRIK2;CACNA1E
Protein repair Homo sapiens R-HSA-5676934	1/6	0.02052467181593053	0.24097480627978968	0	0	58.60588235294118	227.74993771071073	MSRA
Neurofascin interactions Homo sapiens R-HSA-447043	1/7	0.023904862429754863	0.24097480627978968	0	0	48.83578431372549	182.336868459542	DCX
Defective CHST3 causes SEDCJD Homo sapiens R-HSA-3595172	1/7	0.023904862429754863	0.24097480627978968	0	0	48.83578431372549	182.336868459542	VCAN
Defective CHSY1 causes TPBS Homo sapiens R-HSA-3595177	1/7	0.023904862429754863	0.24097480627978968	0	0	48.83578431372549	182.336868459542	VCAN
Defective CHST14 causes EDS, musculocontractural type Homo sapiens R-HSA-3595174	1/7	0.023904862429754863	0.24097480627978968	0	0	48.83578431372549	182.336868459542	VCAN
Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA Homo sapiens R-HSA-428359	1/8	0.027273557473830964	0.24097480627978968	0	0	41.857142857142854	150.7626325151401	IGF2BP3
Axon guidance Homo sapiens R-HSA-422475	5/515	0.03245974751095108	0.24097480627978968	0	0	2.975030637254902	10.197674640783152	ROBO2;EPHA5;DCX;CRMP1;SCN3A
Activation of Ca-permeable Kainate Receptor Homo sapiens R-HSA-451308	1/10	0.033976614095502004	0.24097480627978968	0	0	32.552287581699346	110.09453231300331	GRIK2
Ionotropic activity of Kainate Receptors Homo sapiens R-HSA-451306	1/10	0.033976614095502004	0.24097480627978968	0	0	32.552287581699346	110.09453231300331	GRIK2
Transmission across Chemical Synapses Homo sapiens R-HSA-112315	3/211	0.03648566227833411	0.24097480627978968	0	0	4.310096153846154	14.270021121093198	GRIP1;GRIK2;CACNA1E
Dermatan sulfate biosynthesis Homo sapiens R-HSA-2022923	1/11	0.03731105207809084	0.24097480627978968	0	0	29.29558823529412	96.33753689320037	VCAN
L1CAM interactions Homo sapiens R-HSA-373760	2/96	0.043456027154603886	0.24097480627978968	0	0	6.29946014607812	19.755143064684585	DCX;SCN3A
Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels Homo sapiens R-HSA-112308	1/13	0.04394593765789982	0.24097480627978968	0	0	24.410539215686274	76.2779330882361	CACNA1E
CS/DS degradation Homo sapiens R-HSA-2024101	1/14	0.04724646104265027	0.24097480627978968	0	0	22.531674208144796	68.77517598546079	VCAN
Developmental Biology Homo sapiens R-HSA-1266738	6/786	0.0536443947648958	0.24097480627978968	0	0	2.3383394383394385	6.840527435016032	ROBO2;EPHA5;CHD9;DCX;CRMP1;SCN3A
CRMPs in Sema3A signaling Homo sapiens R-HSA-399956	1/16	0.05381385761215394	0.24097480627978968	0	0	19.525490196078433	57.05786130626521	CRMP1
Trafficking of GluR2-containing AMPA receptors Homo sapiens R-HSA-416993	1/17	0.05708080589311695	0.24097480627978968	0	0	18.30422794117647	52.410264641542106	GRIP1
Defective B3GALT6 causes EDSP2 and SEMDJL1 Homo sapiens R-HSA-4420332	1/19	0.06358138928022476	0.24097480627978968	0	0	16.268790849673202	44.82758713858363	VCAN
Defective B4GALT7 causes EDS, progeroid type Homo sapiens R-HSA-3560783	1/19	0.06358138928022476	0.24097480627978968	0	0	16.268790849673202	44.82758713858363	VCAN
Defective B3GAT3 causes JDSSDHD Homo sapiens R-HSA-3560801	1/19	0.06358138928022476	0.24097480627978968	0	0	16.268790849673202	44.82758713858363	VCAN
Chondroitin sulfate biosynthesis Homo sapiens R-HSA-2022870	1/20	0.06681509876037244	0.24097480627978968	0	0	15.411764705882353	41.70155664670343	VCAN
Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis Homo sapiens R-HSA-163560	1/20	0.06681509876037244	0.24097480627978968	0	0	15.411764705882353	41.70155664670343	FABP7
SALM protein interactions at the synapse Homo sapiens R-HSA-8849932	1/22	0.07324953836364095	0.24097480627978968	0	0	13.942577030812325	36.444269724198726	PTPRD
Post-chaperonin tubulin folding pathway Homo sapiens R-HSA-389977	1/22	0.07324953836364095	0.24097480627978968	0	0	13.942577030812325	36.444269724198726	TUBA1C
Extracellular matrix organization Homo sapiens R-HSA-1474244	3/283	0.07436586796459839	0.24097480627978968	0	0	3.1900974025974027	8.290291803973325	VCAN;MMP16;COL11A1
Formation of tubulin folding intermediates by CCT/TriC Homo sapiens R-HSA-389960	1/25	0.08281930091718732	0.24097480627978968	0	0	12.197916666666666	30.386158751602967	TUBA1C
Diseases associated with glycosaminoglycan metabolism Homo sapiens R-HSA-3560782	1/26	0.0859875288365276	0.24097480627978968	0	0	11.709411764705882	28.729662442835576	VCAN
A tetrasaccharide linker sequence is required for GAG synthesis Homo sapiens R-HSA-1971475	1/26	0.0859875288365276	0.24097480627978968	0	0	11.709411764705882	28.729662442835576	VCAN
Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell Homo sapiens R-HSA-112314	2/142	0.08633893424931051	0.24097480627978968	0	0	4.2198294243070364	10.336365128656407	GRIP1;GRIK2
RORA activates gene expression Homo sapiens R-HSA-1368082	1/27	0.08914497089070929	0.24097480627978968	0	0	11.258484162895927	27.217288055780262	CHD9
Prefoldin mediated transfer of substrate  to CCT/TriC Homo sapiens R-HSA-389957	1/27	0.08914497089070929	0.24097480627978968	0	0	11.258484162895927	27.217288055780262	TUBA1C
YAP1- and WWTR1 (TAZ)-stimulated gene expression Homo sapiens R-HSA-2032785	1/29	0.0954276419328769	0.24097480627978968	0	0	10.453256302521009	24.558744410167414	CHD9
Interaction between L1 and Ankyrins Homo sapiens R-HSA-445095	1/29	0.0954276419328769	0.24097480627978968	0	0	10.453256302521009	24.558744410167414	SCN3A
Activation of Kainate Receptors upon glutamate binding Homo sapiens R-HSA-451326	1/30	0.098552942914148	0.24097480627978968	0	0	10.092292089249494	23.385469502095955	GRIK2
Trafficking of AMPA receptors Homo sapiens R-HSA-399719	1/31	0.10166760200422945	0.24097480627978968	0	0	9.755392156862746	22.301280984489107	GRIP1
Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity Homo sapiens R-HSA-399721	1/31	0.10166760200422945	0.24097480627978968	0	0	9.755392156862746	22.301280984489107	GRIP1
Activation of Matrix Metalloproteinases Homo sapiens R-HSA-1592389	1/32	0.10477165490425638	0.24097480627978968	0	0	9.440227703984819	21.296889488505485	MMP16
Signaling by Robo receptor Homo sapiens R-HSA-376176	1/32	0.10477165490425638	0.24097480627978968	0	0	9.440227703984819	21.296889488505485	ROBO2
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding Homo sapiens R-HSA-389958	1/32	0.10477165490425638	0.24097480627978968	0	0	9.440227703984819	21.296889488505485	TUBA1C
Sialic acid metabolism Homo sapiens R-HSA-4085001	1/33	0.10786513718526013	0.24203884441570567	0	0	9.144761029411764	20.364226566626183	ST6GAL2
EPHA-mediated growth cone collapse Homo sapiens R-HSA-3928663	1/34	0.11094808432236665	0.24302913708708887	0	0	8.867201426024955	19.49625278180184	EPHA5
Transcriptional activation of mitochondrial biogenesis Homo sapiens R-HSA-2151201	1/40	0.12922650035538952	0.2764837430267991	0	0	7.500754147812971	15.347957610327404	CHD9
BMAL1:CLOCK,NPAS2 activates circadian gene expression Homo sapiens R-HSA-1368108	1/42	0.1352366134370213	0.2764837430267991	0	0	7.134146341463414	14.273495919697725	CHD9
Activation of gene expression by SREBF (SREBP) Homo sapiens R-HSA-2426168	1/42	0.1352366134370213	0.2764837430267991	0	0	7.134146341463414	14.273495919697725	CHD9
Phase 0 - rapid depolarisation Homo sapiens R-HSA-5576892	1/44	0.14120584167933814	0.2824116833586763	0	0	6.801641586867305	13.31446223150924	SCN3A
EPH-ephrin mediated repulsion of cells Homo sapiens R-HSA-3928665	1/48	0.15302273806390057	0.2982883121849958	0	0	6.221526908635795	11.678855914035092	EPHA5
Mitochondrial biogenesis Homo sapiens R-HSA-1592230	1/49	0.1559518351617717	0.2982883121849958	0	0	6.091605392156863	11.319470289022187	CHD9
Chondroitin sulfate/dermatan sulfate metabolism Homo sapiens R-HSA-1793185	1/50	0.15887094888113906	0.2982883121849958	0	0	5.966986794717887	10.977245117600177	VCAN
Assembly of collagen fibrils and other multimeric structures Homo sapiens R-HSA-2022090	1/54	0.17044823907414808	0.30085377687641807	0	0	5.5155382907880135	9.758772127979919	COL11A1
Heparan sulfate/heparin (HS-GAG) metabolism Homo sapiens R-HSA-1638091	1/54	0.17044823907414808	0.30085377687641807	0	0	5.5155382907880135	9.758772127979919	VCAN
ECM proteoglycans Homo sapiens R-HSA-3000178	1/55	0.17331793667880604	0.30085377687641807	0	0	5.413126361655773	9.487194592668214	VCAN
Regulation of cholesterol biosynthesis by SREBP (SREBF) Homo sapiens R-HSA-1655829	1/55	0.17331793667880604	0.30085377687641807	0	0	5.413126361655773	9.487194592668214	CHD9
Circadian Clock Homo sapiens R-HSA-400253	1/63	0.19592604597187427	0.3218785040966506	0	0	4.712760910815939	7.681885149311177	CHD9
