Gene	Status
TMEM88B	Adult
GABRD	Adult
RBP7	Adult
HTR6	Adult
FAM43B	Adult
ALPL	Adult
EXTL1	Adult
TRNP1	Adult
GPR3	Adult
OPRD1	Adult
HPCA	Adult
PODN	Adult
IL12RB2	Adult
EPHX4	Adult
NTNG1	Adult
GPR61	Adult
GSTM5	Adult
SLC6A17	Adult
C1orf54	Adult
ECM1	Adult
HAPLN2	Adult
BCAN	Adult
PEAR1	Adult
KCNJ9	Adult
ATP1A2	Adult
RGS4	Adult
BRINP2	Adult
GPR37L1	Adult
PRELP	Adult
CNTN2	Adult
MFSD4A	Adult
CAMK1G	Adult
GJC2	Adult
SLC35F3	Adult
OR2L13	Adult
ANKRD65	Adult
FNDC10	Adult
CFAP74	Adult
CHD5	Adult
SLC2A5	Adult
FAM131C	Adult
PADI2	Adult
KIF17	Adult
RUNX3	Adult
COL16A1	Adult
EPHA10	Adult
RHBDL2	Adult
HEYL	Adult
HPCAL4	Adult
RIMS3	Adult
TTC39A	Adult
LPAR3	Adult
COL24A1	Adult
OLFM3	Adult
SV2A	Adult
S100A4	Adult
PAQR6	Adult
ADAMTS4	Adult
RXRG	Adult
LMOD1	Adult
SYT2	Adult
PLEKHA6	Adult
CD34	Adult
KCNH1	Adult
AGT	Adult
PLD5	Adult
KCNF1	Adult
GREB1	Adult
KCNK3	Adult
DCTN1-AS1	Adult
MAL	Adult
UNC80	Adult
CDK5R2	Adult
NTSR2	Adult
ALK	Adult
EFEMP1	Adult
FAHD2B	Adult
DPP10-AS1	Adult
C1QL2	Adult
RAB6C-AS1	Adult
ERMN	Adult
CAVIN2	Adult
RFTN2	Adult
C2orf80	Adult
PTPRN	Adult
SCG2	Adult
NGEF	Adult
IQCA1	Adult
KIF1A	Adult
CPNE9	Adult
HRH1	Adult
SYN2	Adult
GALNT15	Adult
MOBP	Adult
TMIE	Adult
PTH1R	Adult
GPR62	Adult
CACNA2D3	Adult
SYNPR	Adult
TAGLN3	Adult
STXBP5L	Adult
FBXO40	Adult
SLC15A2	Adult
KBTBD12	Adult
ESYT3	Adult
KCNAB1	Adult
PRRT3	Adult
TIMP4	Adult
SUSD5	Adult
CCK	Adult
HHATL	Adult
FAM107A	Adult
TAFA4	Adult
CPNE4	Adult
KY	Adult
SLC7A14	Adult
ATP13A4	Adult
APOD	Adult
MELTF	Adult
BDH1	Adult
NAT8L	Adult
ADRA2C	Adult
SOD3	Adult
PARM1	Adult
LINC01094	Adult
UGT8	Adult
FGF2	Adult
HHIP	Adult
PPP2R2C	Adult
KCNIP4	Adult
GABRG1	Adult
GABRA2	Adult
HOPX	Adult
SPARCL1	Adult
FREM3	Adult
SCRG1	Adult
AHRR	Adult
ADCY2	Adult
PART1	Adult
